matchup_id,date,city,state,country,arena,attendance
0,2019-11-05 12:00:00,Waco,Texas,,Ferrell Center,8805.0
1,2019-11-05 12:00:00,Murfreesboro,Tennessee,,Murphy Athletic Center,8055.0
2,2019-11-05 17:00:00,Washington,District of Columbia,,Burr Gymnasium,1435.0
3,2019-11-05 18:30:00,South Orange,New Jersey,,Walsh Gymnasium,1655.0
4,2019-11-05 18:30:00,Coral Gables,Florida,,Watsco Center,7576.0
5,2019-11-05 19:00:00,Bowling Green,Ohio,,Stroh Center,1519.0
6,2019-11-05 19:00:00,Farmville,Virginia,,Willett Hall,1214.0
7,2019-11-05 19:00:00,Stony Brook,New York,,Island Federal Credit Union Arena,3183.0
8,2019-11-05 19:00:00,Kingston,Rhode Island,,Ryan Center,4258.0
9,2019-11-05 19:00:00,Richmond,Kentucky,,McBrayer Arena,2858.0
10,2019-11-05 19:00:00,Rochester,Michigan,,Athletics Center O'rena,2554.0
11,2019-11-05 19:00:00,Greensboro,North Carolina,,Greensboro Coliseum,8131.0
12,2019-11-05 19:00:00,Baltimore,Maryland,,UMBC Event Center,812.0
13,2019-11-05 19:00:00,Highland Heights,Kentucky,,BB&T Arena,2857.0
14,2019-11-05 19:00:00,Spartanburg,South Carolina,,Jerry Richardson Indoor Stadium,2324.0
15,2019-11-05 19:00:00,New York,New York,,Madison Square Garden,
16,2019-11-05 19:00:00,Ann Arbor,Michigan,,Crisler Center,11325.0
17,2019-11-05 19:00:00,Gainesville,Florida,,Exactech Arena,9685.0
18,2019-11-05 19:00:00,Fairfax,Virginia,,EagleBank Arena,5620.0
19,2019-11-05 19:00:00,Amherst,Massachusetts,,William D. Mullins Memorial Center,2563.0
20,2019-11-05 19:00:00,Richmond,Virginia,,Stuart C. Siegel Center,7637.0
21,2019-11-05 19:00:00,Philadelphia,Pennsylvania,,Hagan Arena,2068.0
22,2019-11-05 19:00:00,Greenville,North Carolina,,Minges Coliseum,4027.0
23,2019-11-05 19:00:00,Boston,Massachusetts,,Lavietes Pavilion,1112.0
24,2019-11-05 19:00:00,High Point,North Carolina,,Millis Athletic Center,1292.0
25,2019-11-05 19:00:00,Boston,Massachusetts,,"Case Gym ""The Roof""",1171.0
26,2019-11-05 19:00:00,Bridgeport,Connecticut,,Webster Bank Arena,1063.0
27,2019-11-05 19:00:00,Baltimore,Maryland,,Physical Education Complex,815.0
28,2019-11-05 19:00:00,Newark,Delaware,,Bob Carpenter Center,1599.0
29,2019-11-05 19:30:00,Albany,New York,,Times Union Center,5371.0
30,2019-11-05 19:30:00,Huntsville,Texas,,Bernard G. Johnson Coliseum,1087.0
31,2019-11-05 19:30:00,St. Bonaventure,New York,,Reilly Center,4305.0
32,2019-11-05 19:45:00,Youngstown,Ohio,,Beeghly Center,1841.0
33,2019-11-05 20:00:00,Hattiesburg,Mississippi,,Reed Green Coliseum,2824.0
34,2019-11-05 20:00:00,Nashville,Tennessee,,Gentry Center,5638.0
35,2019-11-05 20:00:00,New Orleans,Louisiana,,Lakefront Arena,1427.0
36,2019-11-05 20:00:00,Martin,Tennessee,,Kathleen and Tom Elam Center,823.0
37,2019-11-05 20:00:00,De Land,Florida,,The J. Ollie Edmunds Center,529.0
38,2019-11-05 20:00:00,Chicago,Illinois,,Credit Union 1 Arena,8000.0
39,2019-11-05 20:00:00,Arlington,Texas,,College Park Center,1727.0
40,2019-11-05 20:00:00,Spokane,Washington,,McCarthey Athletic Center,6000.0
41,2019-11-05 20:00:00,Monroe,Louisiana,,Fant-Ewing Coliseum,2498.0
42,2019-11-05 20:00:00,Cedar Falls,Iowa,,McLeod Center,3705.0
43,2019-11-05 20:00:00,Champaign,Illinois,,State Farm Center,10034.0
44,2019-11-05 20:00:00,Austin,Texas,,Frank C. Erwin Jr. Center,8208.0
45,2019-11-05 20:00:00,St. Louis,Missouri,,Chaifetz Arena,6321.0
46,2019-11-05 20:00:00,Lubbock,Texas,,United Supermarkets Arena,15098.0
47,2019-11-05 20:00:00,Fayetteville,Arkansas,,Bud Walton Arena,17274.0
48,2019-11-05 20:00:00,Valparaiso,Indiana,,Athletics-Recreation Center,2412.0
49,2019-11-05 20:00:00,Ames,Iowa,,Hilton Coliseum,13744.0
50,2019-11-05 20:00:00,Dallas,Texas,,Moody Coliseum,4010.0
51,2019-11-05 20:00:00,Philadelphia,Pennsylvania,,Liacouras Center,7025.0
52,2019-11-05 20:05:00,Chicago,Illinois,,Jones Convocation Center,407.0
53,2019-11-05 20:30:00,San Marcos,Texas,,Strahan Arena,2752.0
54,2019-11-05 20:30:00,Villanova,Pennsylvania,,Finneran Pavilion,6501.0
55,2019-11-05 20:30:00,Raleigh,North Carolina,,PNC Arena,17133.0
56,2019-11-05 21:00:00,Cedar City,Utah,,America First Events Center,2087.0
57,2019-11-05 21:00:00,Chicago,Illinois,,Wintrust Arena,3483.0
58,2019-11-05 21:00:00,Auburn,Alabama,,Auburn Arena,8702.0
59,2019-11-05 21:00:00,Fort Collins,Colorado,,Moby Arena,2322.0
60,2019-11-05 21:00:00,Provo,Utah,,Marriott Center,11116.0
61,2019-11-05 21:00:00,Las Cruces,New Mexico,,Pan American Center,5066.0
62,2019-11-05 21:00:00,Phoenix,Arizona,,GCU Arena,7074.0
63,2019-11-05 21:05:00,Cheney,Washington,,Reese Court,1050.0
64,2019-11-05 21:30:00,New York,New York,,Madison Square Garden,19812.0
65,2019-11-05 22:00:00,San Diego,California,,Viejas Arena,10093.0
66,2019-11-05 22:00:00,San Francisco,California,,War Memorial at the Sobrato Center,1002.0
67,2019-11-05 22:00:00,Seattle,Washington,,Redhawk Center,828.0
68,2019-11-05 22:00:00,Santa Clara,California,,Leavey Center,1420.0
69,2019-11-05 22:00:00,Portland,Oregon,,Chiles Center,1234.0
70,2019-11-05 22:00:00,Moscow,Idaho,,Memorial Gym,905.0
71,2019-11-05 22:00:00,San Diego,California,,Jenny Craig Pavilion,1517.0
