matchup_id,home_first,home_second,home_ot,home_total,away_first,away_second,away_ot,away_total
0,53.0,52.0,0.0,105.0,53.0,52.0,0.0,61.0
1,43.0,76.0,0.0,119.0,43.0,76.0,0.0,61.0
2,34.0,34.0,0.0,68.0,34.0,34.0,0.0,71.0
3,52.0,53.0,0.0,105.0,52.0,53.0,0.0,71.0
4,26.0,48.0,0.0,74.0,26.0,48.0,0.0,87.0
5,52.0,42.0,0.0,94.0,52.0,42.0,0.0,73.0
6,34.0,39.0,0.0,73.0,34.0,39.0,0.0,51.0
7,23.0,39.0,7.0,69.0,23.0,39.0,12.0,74.0
8,36.0,40.0,0.0,76.0,36.0,40.0,0.0,65.0
9,33.0,46.0,0.0,79.0,33.0,46.0,0.0,68.0
10,41.0,53.0,0.0,94.0,41.0,53.0,0.0,66.0
11,42.0,41.0,0.0,83.0,42.0,41.0,0.0,50.0
12,68.0,66.0,0.0,134.0,68.0,66.0,0.0,46.0
13,55.0,50.0,0.0,105.0,55.0,50.0,0.0,55.0
14,34.0,52.0,0.0,86.0,34.0,52.0,0.0,63.0
15,33.0,35.0,0.0,68.0,33.0,35.0,0.0,66.0
16,46.0,33.0,0.0,79.0,46.0,33.0,0.0,71.0
17,39.0,35.0,0.0,74.0,39.0,35.0,0.0,59.0
18,20.0,32.0,16.0,68.0,20.0,32.0,3.0,55.0
19,36.0,43.0,0.0,79.0,36.0,43.0,0.0,64.0
20,36.0,36.0,0.0,72.0,36.0,36.0,0.0,58.0
21,43.0,43.0,0.0,86.0,43.0,43.0,0.0,81.0
22,36.0,44.0,0.0,80.0,36.0,44.0,0.0,68.0
23,33.0,51.0,0.0,84.0,33.0,51.0,0.0,27.0
24,21.0,35.0,0.0,56.0,21.0,35.0,0.0,70.0
25,33.0,34.0,0.0,67.0,33.0,34.0,0.0,72.0
26,33.0,31.0,0.0,64.0,33.0,31.0,0.0,68.0
27,44.0,40.0,0.0,84.0,44.0,40.0,0.0,91.0
28,55.0,42.0,0.0,97.0,55.0,42.0,0.0,51.0
29,54.0,42.0,0.0,96.0,54.0,42.0,0.0,80.0
30,42.0,53.0,0.0,95.0,42.0,53.0,0.0,57.0
31,25.0,28.0,0.0,53.0,25.0,28.0,0.0,65.0
32,51.0,50.0,0.0,101.0,51.0,50.0,0.0,53.0
33,49.0,41.0,0.0,90.0,49.0,41.0,0.0,71.0
34,64.0,42.0,0.0,106.0,64.0,42.0,0.0,66.0
35,52.0,62.0,0.0,114.0,52.0,62.0,0.0,58.0
36,50.0,56.0,0.0,106.0,50.0,56.0,0.0,48.0
37,44.0,40.0,0.0,84.0,44.0,40.0,0.0,26.0
38,40.0,35.0,0.0,75.0,40.0,35.0,0.0,72.0
39,37.0,47.0,0.0,84.0,37.0,47.0,0.0,50.0
40,42.0,53.0,0.0,95.0,42.0,53.0,0.0,64.0
41,38.0,26.0,0.0,64.0,38.0,26.0,0.0,41.0
42,26.0,32.0,0.0,58.0,26.0,32.0,0.0,53.0
43,30.0,36.0,12.0,78.0,30.0,36.0,4.0,70.0
44,34.0,35.0,0.0,69.0,34.0,35.0,0.0,45.0
45,40.0,49.0,0.0,89.0,40.0,49.0,0.0,67.0
46,46.0,39.0,0.0,85.0,46.0,39.0,0.0,60.0
47,39.0,52.0,0.0,91.0,39.0,52.0,0.0,43.0
48,39.0,40.0,0.0,79.0,39.0,40.0,0.0,77.0
49,56.0,54.0,0.0,110.0,56.0,54.0,0.0,74.0
50,31.0,43.0,0.0,74.0,31.0,43.0,0.0,65.0
51,31.0,39.0,0.0,70.0,31.0,39.0,0.0,62.0
52,46.0,57.0,0.0,103.0,46.0,57.0,0.0,60.0
53,57.0,46.0,0.0,103.0,57.0,46.0,0.0,45.0
54,49.0,48.0,0.0,97.0,49.0,48.0,0.0,54.0
55,42.0,33.0,6.0,81.0,42.0,33.0,7.0,82.0
56,62.0,48.0,0.0,110.0,62.0,48.0,0.0,66.0
57,45.0,27.0,0.0,72.0,45.0,27.0,0.0,54.0
58,41.0,42.0,0.0,83.0,41.0,42.0,0.0,74.0
59,34.0,40.0,0.0,74.0,34.0,40.0,0.0,63.0
60,38.0,38.0,0.0,76.0,38.0,38.0,0.0,58.0
61,52.0,40.0,0.0,92.0,52.0,40.0,0.0,46.0
62,28.0,45.0,0.0,73.0,28.0,45.0,0.0,82.0
63,52.0,55.0,0.0,107.0,52.0,55.0,0.0,25.0
64,34.0,35.0,0.0,69.0,34.0,35.0,0.0,62.0
65,48.0,29.0,0.0,77.0,48.0,29.0,0.0,42.0
66,49.0,52.0,0.0,101.0,49.0,52.0,0.0,50.0
67,47.0,51.0,0.0,98.0,47.0,51.0,0.0,64.0
68,52.0,45.0,0.0,97.0,52.0,45.0,0.0,52.0
69,49.0,37.0,0.0,86.0,49.0,37.0,0.0,36.0
70,43.0,45.0,0.0,88.0,43.0,45.0,0.0,82.0
71,48.0,25.0,0.0,73.0,48.0,25.0,0.0,76.0
72,46.0,57.0,0.0,103.0,46.0,57.0,0.0,51.0
73,45.0,42.0,0.0,87.0,45.0,42.0,0.0,67.0
74,48.0,38.0,0.0,86.0,48.0,38.0,0.0,40.0
75,41.0,39.0,0.0,80.0,41.0,39.0,0.0,72.0
76,37.0,57.0,0.0,94.0,37.0,57.0,0.0,67.0
77,50.0,34.0,0.0,84.0,50.0,34.0,0.0,57.0
78,33.0,38.0,0.0,71.0,33.0,38.0,0.0,73.0
79,51.0,51.0,0.0,102.0,51.0,51.0,0.0,62.0
80,39.0,42.0,0.0,81.0,39.0,42.0,0.0,64.0
81,45.0,39.0,0.0,84.0,45.0,39.0,0.0,64.0
82,53.0,40.0,0.0,93.0,53.0,40.0,0.0,29.0
83,37.0,23.0,0.0,60.0,37.0,23.0,0.0,67.0
84,35.0,35.0,20.0,90.0,35.0,35.0,16.0,86.0
85,56.0,45.0,0.0,101.0,56.0,45.0,0.0,52.0
86,48.0,48.0,0.0,96.0,48.0,48.0,0.0,77.0
87,53.0,39.0,0.0,92.0,53.0,39.0,0.0,81.0
88,59.0,47.0,0.0,106.0,59.0,47.0,0.0,60.0
89,37.0,47.0,0.0,84.0,37.0,47.0,0.0,46.0
90,46.0,52.0,0.0,98.0,46.0,52.0,0.0,65.0
91,36.0,42.0,0.0,78.0,36.0,42.0,0.0,63.0
92,32.0,40.0,0.0,72.0,32.0,40.0,0.0,58.0
93,37.0,54.0,0.0,91.0,37.0,54.0,0.0,72.0
94,30.0,29.0,0.0,59.0,30.0,29.0,0.0,74.0
95,43.0,33.0,0.0,76.0,43.0,33.0,0.0,57.0
96,33.0,41.0,0.0,74.0,33.0,41.0,0.0,75.0
97,41.0,46.0,0.0,87.0,41.0,46.0,0.0,43.0
98,54.0,49.0,0.0,103.0,54.0,49.0,0.0,83.0
99,36.0,27.0,0.0,63.0,36.0,27.0,0.0,70.0
100,32.0,30.0,0.0,62.0,32.0,30.0,0.0,66.0
101,36.0,38.0,0.0,74.0,36.0,38.0,0.0,55.0
102,48.0,42.0,0.0,90.0,48.0,42.0,0.0,84.0
103,51.0,44.0,0.0,95.0,51.0,44.0,0.0,71.0
104,45.0,59.0,0.0,104.0,45.0,59.0,0.0,55.0
105,50.0,49.0,0.0,99.0,50.0,49.0,0.0,71.0
106,34.0,38.0,0.0,72.0,34.0,38.0,0.0,62.0
107,35.0,35.0,0.0,70.0,35.0,35.0,0.0,57.0
108,55.0,45.0,0.0,100.0,55.0,45.0,0.0,62.0
109,50.0,50.0,0.0,100.0,50.0,50.0,0.0,59.0
110,37.0,42.0,0.0,79.0,37.0,42.0,0.0,40.0
111,36.0,49.0,0.0,85.0,36.0,49.0,0.0,67.0
112,44.0,51.0,0.0,95.0,44.0,51.0,0.0,67.0
113,36.0,40.0,0.0,76.0,36.0,40.0,0.0,64.0
114,36.0,40.0,0.0,76.0,36.0,40.0,0.0,48.0
115,39.0,27.0,0.0,66.0,39.0,27.0,0.0,67.0
116,38.0,47.0,0.0,85.0,38.0,47.0,0.0,50.0
117,44.0,44.0,0.0,88.0,44.0,44.0,0.0,53.0
118,40.0,37.0,0.0,77.0,40.0,37.0,0.0,69.0
119,21.0,46.0,0.0,67.0,21.0,46.0,0.0,54.0
120,35.0,45.0,0.0,80.0,35.0,45.0,0.0,81.0
121,34.0,31.0,0.0,65.0,34.0,31.0,0.0,63.0
122,39.0,43.0,0.0,82.0,39.0,43.0,0.0,48.0
123,50.0,47.0,0.0,97.0,50.0,47.0,0.0,64.0
124,37.0,33.0,0.0,70.0,37.0,33.0,0.0,41.0
125,31.0,37.0,0.0,68.0,31.0,37.0,0.0,54.0
126,34.0,27.0,0.0,61.0,34.0,27.0,0.0,52.0
127,56.0,54.0,0.0,110.0,56.0,54.0,0.0,67.0
128,47.0,43.0,0.0,90.0,47.0,43.0,0.0,39.0
129,21.0,33.0,0.0,54.0,21.0,33.0,0.0,40.0
130,28.0,19.0,0.0,47.0,28.0,19.0,0.0,66.0
131,39.0,42.0,0.0,81.0,39.0,42.0,0.0,55.0
132,38.0,33.0,0.0,71.0,38.0,33.0,0.0,57.0
133,53.0,49.0,0.0,102.0,53.0,49.0,0.0,49.0
134,35.0,37.0,0.0,72.0,35.0,37.0,0.0,55.0
135,44.0,49.0,0.0,93.0,44.0,49.0,0.0,70.0
136,24.0,30.0,9.0,63.0,24.0,30.0,11.0,65.0
137,30.0,38.0,0.0,68.0,30.0,38.0,0.0,59.0
138,69.0,57.0,0.0,126.0,69.0,57.0,0.0,49.0
139,39.0,47.0,0.0,86.0,39.0,47.0,0.0,71.0
140,35.0,34.0,0.0,69.0,35.0,34.0,0.0,47.0
141,36.0,57.0,0.0,93.0,36.0,57.0,0.0,70.0
142,48.0,57.0,0.0,105.0,48.0,57.0,0.0,62.0
143,37.0,44.0,0.0,81.0,37.0,44.0,0.0,73.0
144,35.0,52.0,0.0,87.0,35.0,52.0,0.0,71.0
145,32.0,42.0,0.0,74.0,32.0,42.0,0.0,79.0
146,54.0,40.0,0.0,94.0,54.0,40.0,0.0,69.0
147,24.0,53.0,0.0,77.0,24.0,53.0,0.0,48.0
148,42.0,35.0,0.0,77.0,42.0,35.0,0.0,70.0
149,36.0,44.0,0.0,80.0,36.0,44.0,0.0,47.0
150,35.0,44.0,0.0,79.0,35.0,44.0,0.0,57.0
151,37.0,40.0,0.0,77.0,37.0,40.0,0.0,55.0
152,41.0,39.0,0.0,80.0,41.0,39.0,0.0,75.0
153,61.0,51.0,0.0,112.0,61.0,51.0,0.0,52.0
154,42.0,33.0,0.0,75.0,42.0,33.0,0.0,65.0
155,38.0,41.0,0.0,79.0,38.0,41.0,0.0,50.0
156,57.0,53.0,0.0,110.0,57.0,53.0,0.0,68.0
157,50.0,39.0,0.0,89.0,50.0,39.0,0.0,70.0
158,23.0,56.0,0.0,79.0,23.0,56.0,0.0,72.0
159,33.0,49.0,0.0,82.0,33.0,49.0,0.0,51.0
160,33.0,43.0,0.0,76.0,33.0,43.0,0.0,55.0
161,38.0,39.0,0.0,77.0,38.0,39.0,0.0,63.0
162,43.0,39.0,0.0,82.0,43.0,39.0,0.0,42.0
163,19.0,45.0,0.0,64.0,19.0,45.0,0.0,56.0
164,28.0,37.0,0.0,65.0,28.0,37.0,0.0,49.0
165,19.0,15.0,0.0,34.0,19.0,15.0,0.0,48.0
