matchup_id,home_team,home_team_ranking,home_team_box,away_team,away_team_ranking,away_team_box,url,neutral,winner
0,Baylor,18,0,Central Arkansas,0,1,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1009708.html,False,False
1,Middle Tennessee St.,0,2,Maryville (TN),0,3,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1014509.html,False,False
2,Howard,0,4,Washington Adventist,0,5,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1014462.html,False,False
3,Seton Hall,13,6,Wagner,0,7,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1008311.html,False,False
4,Miami-Florida,0,8,Louisville,5,9,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1012742.html,False,False
5,Bowling Green,0,10,Tiffin,0,11,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1011448.html,False,True
6,Longwood,0,12,Marymount (VA),0,13,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1011541.html,False,True
7,Stony Brook,0,14,Yale,0,15,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1009795.html,False,False
8,Rhode Island,0,16,LIU,0,17,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1009772.html,False,True
9,Eastern Kentucky,0,18,Chattanooga,0,19,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1013082.html,False,True
10,Oakland,0,20,Goshen,0,21,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1014465.html,False,True
11,NC-Greensboro,0,22,No.Carolina A&T,0,23,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1014467.html,False,True
12,MD Baltimore County,0,24,Valley Forge,0,25,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1019219.html,False,False
13,Northern Kentucky,0,26,Cincinnati Clermont,0,27,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1014502.html,False,False
14,Wofford,0,28,Erskine,0,29,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1014504.html,False,True
15,Duke,4,30,Kansas,3,31,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1008336.html,True,True
16,Michigan,0,32,Appalachian St.,0,33,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1008338.html,False,True
17,Florida,6,34,North Florida,0,35,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1009692.html,False,True
18,George Mason,0,36,Navy,0,37,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1009702.html,False,True
19,Massachusetts,0,38,Massachusetts Lowell,0,39,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1009704.html,False,True
20,VCU,0,40,St. Francis (PA),0,41,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1009706.html,False,True
21,St. Joseph's,0,42,Bradley,0,43,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1009711.html,False,True
22,East Carolina,0,44,VMI,0,45,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1009713.html,False,True
23,Harvard,0,46,MIT,0,47,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1011451.html,False,True
24,High Point,0,48,William & Mary,0,49,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1011453.html,False,False
25,Boston U,0,50,Northeastern,0,51,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1011455.html,False,False
26,Fairfield,0,52,Bucknell,0,53,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1011457.html,False,False
27,Coppin St.,0,54,Rider,0,55,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1011459.html,False,False
28,Delaware,0,56,Bridgewater (VA),0,57,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1011461.html,False,True
29,Siena,0,58,American U.,0,59,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1011463.html,False,True
30,Sam Houston St.,0,60,Paul Quinn,0,61,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1015617.html,False,True
31,St. Bonaventure,0,62,Ohio,0,63,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1009801.html,False,False
32,Youngstown St.,0,64,Thiel College,0,65,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1014510.html,False,False
33,Southern Miss,0,66,Delta St.,0,67,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1014512.html,False,True
34,Tennessee St.,0,68,Alabama A&M,0,69,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1014471.html,False,False
35,New Orleans,0,70,Spring Hill,0,71,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1015618.html,False,False
36,Tenn-Martin,0,72,St. Louis College,0,73,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1019244.html,False,False
37,Stetson,0,74,Trinity Baptist,0,75,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1009804.html,False,True
38,Illinois-Chicago,0,76,Olivet Nazarene,0,77,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1013698.html,False,True
39,Texas-Arlington,0,78,Texas-Dallas,0,79,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1013709.html,False,True
40,Gonzaga,7,80,Alabama St.,0,81,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1014461.html,False,True
41,Louisiana Monroe,0,82,Louisiana College,0,83,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1013690.html,False,True
42,Northern Iowa,0,84,Old Dominion,0,85,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1013084.html,False,True
43,Illinois,0,86,Nicholls State,0,87,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1008342.html,False,True
44,Texas,0,88,Northern Colorado,0,89,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1008333.html,False,True
45,Saint Louis,0,90,Florida Gulf Coast,0,91,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1009705.html,False,True
46,Texas Tech,12,92,Eastern Illinois,0,93,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1009700.html,False,True
47,Arkansas,0,94,Rice,0,95,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1009695.html,False,True
48,Valparaiso,0,96,Toledo,0,97,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1011465.html,False,True
49,Iowa State,0,98,Mississippi Valley State,0,99,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1009715.html,False,False
50,Southern Methodist,0,100,Jacksonville St.,0,101,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1009717.html,False,True
51,Temple,0,102,Drexel,0,103,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1009719.html,False,True
52,Chicago St.,0,104,Judson University,0,105,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1019285.html,False,False
53,Texas State,0,106,Texas Lutheran,0,107,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1013691.html,False,False
54,Villanova,10,108,Army,0,109,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1009721.html,False,True
55,NC State,0,110,Georgia Tech,0,111,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1008327.html,False,False
56,Southern Utah,0,112,Bethesda University,0,113,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1008331.html,False,False
57,DePaul,0,114,Alcorn St.,0,115,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1008345.html,False,True
58,Auburn,23,116,Georgia Southern,0,117,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1009693.html,False,True
59,Colorado St.,0,118,Denver,0,119,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1013085.html,False,True
60,Brigham Young,0,120,Cal St. Fullerton,0,121,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1011449.html,False,True
61,New Mexico St.,0,122,Western New Mexico,0,123,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1014514.html,False,True
62,Grand Canyon,0,124,Davenport,0,125,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1014516.html,False,False
63,Eastern Washington,0,126,Portland Bible College,0,127,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1008328.html,False,False
64,Kentucky,2,128,Michigan St,1,129,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1013086.html,True,True
65,San Diego St.,0,130,Texas Southern,0,131,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1013079.html,False,True
66,San Francisco,0,132,Sonoma State,0,133,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1014464.html,False,False
67,Seattle,0,134,Pacific Lutheran,0,135,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1014517.html,False,True
68,Santa Clara,0,136,UC Santa Cruz,0,137,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1014476.html,False,True
69,Portland,0,138,Willamette,0,139,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1014478.html,False,True
70,Idaho,0,140,Evergreen State,0,141,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1008334.html,False,True
71,San Diego,0,142,UC Irvine,0,143,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1011468.html,False,False
72,Cal. State - Bakersfield,0,144,Notre Dame (CA),0,145,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1014518.html,False,False
73,Oregon St.,0,146,CSU Northridge,0,147,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1009726.html,False,True
74,Lamar,0,148,Champion Christian,0,149,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1011539.html,False,True
75,Tulsa,0,150,Houston Baptist,0,151,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1009709.html,False,True
76,Duquesne,0,152,Princeton,0,153,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1009710.html,False,True
77,Northwestern St.,0,154,Centenary,0,155,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1019301.html,False,True
78,Bryant,0,156,Brown,0,157,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1011447.html,False,False
79,Central Michigan,0,158,Michigan-Dearborn,0,159,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1011540.html,False,False
80,Akron,0,160,Malone,0,161,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1011542.html,False,True
81,Cornell,0,162,Binghamton,0,163,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2019-2020/boxscore1009800.html,False,True
