matchup_id,date,city,state,country,arena,attendance
0,2013-11-08 12:00:00,Ypsilanti,Michigan,,Convocation Center,
1,2013-11-08 14:30:00,Mount Pleasant,Michigan,,McGuirk Arena,
2,2013-11-08 15:30:00,Lexington,Virginia,,Cameron Hall,3419.0
3,2013-11-08 17:00:00,Dallas,Texas,,American Airlines Center,
4,2013-11-08 17:30:00,Chattanooga,Tennessee,,McKenzie Arena,4637.0
5,2013-11-08 18:00:00,Denton,Texas,,The Super Pit,2236.0
6,2013-11-08 19:00:00,Richmond,Virginia,,Stuart C. Siegel Center,7741.0
7,2013-11-08 19:00:00,Clemson,South Carolina,,J.C. Littlejohn Coliseum,5200.0
8,2013-11-08 19:00:00,Durham,North Carolina,,Cameron Indoor Stadium,9314.0
9,2013-11-08 19:00:00,Norfolk,Virginia,,Ted Constant Convocation Center,6780.0
10,2013-11-08 19:00:00,Washington,District of Columbia,,Charles E. Smith Athletic Center,2531.0
11,2013-11-08 19:00:00,Buies Creek,North Carolina,,John W. Pope Jr. Convocation Center,1934.0
12,2013-11-08 19:00:00,Washington,District of Columbia,,Burr Gymnasium,1875.0
13,2013-11-08 19:00:00,Cincinnati,Ohio,,Cintas Center,10250.0
14,2013-11-08 19:00:00,Huntington,West Virginia,,Cam Henderson Center,5067.0
15,2013-11-08 19:00:00,Lexington,Kentucky,,Rupp Arena,22413.0
16,2013-11-08 19:00:00,Richmond,Virginia,,Robins Center,6721.0
17,2013-11-08 19:00:00,Fairfax,Virginia,,Patriot Center,6602.0
18,2013-11-08 19:00:00,Hempstead,New York,,David S. Mack Sports and Exhibition Complex,2063.0
19,2013-11-08 19:00:00,Bloomington,Indiana,,Assembly Hall,17472.0
20,2013-11-08 19:00:00,Kent,Ohio,,Memorial Athletic and Convocation Center,2240.0
21,2013-11-08 19:00:00,Pittsburgh,Pennsylvania,,Petersen Events Center,9235.0
22,2013-11-08 19:00:00,Ann Arbor,Michigan,,Crisler Center,12707.0
23,2013-11-08 19:30:00,Charlotte,North Carolina,,Dale F. Halton Arena,4796.0
24,2013-11-08 19:30:00,Elon,North Carolina,,Alumni Gymnasium,1607.0
25,2013-11-08 19:30:00,Piscataway,New Jersey,,Louis Brown Athletic Center,5083.0
26,2013-11-08 19:30:00,Towson,Maryland,,Towson Center,4262.0
27,2013-11-08 19:30:00,San Diego,California,,Jenny Craig Pavillion,
28,2013-11-08 19:30:00,Kingston,Rhode Island,,Thomas M. Ryan Center,5410.0
29,2013-11-08 20:00:00,Champaign,Illinois,,State Farm Center,15271.0
30,2013-11-08 20:00:00,Akron,Ohio,,James A. Rhodes Arena,4217.0
31,2013-11-08 20:00:00,College Station,Texas,,Reed Arena,4969.0
32,2013-11-08 20:00:00,Peoria,Illinois,,Carver Arena,7209.0
33,2013-11-08 20:00:00,Cincinnati,Ohio,,Fifth Third Arena,6532.0
34,2013-11-08 20:00:00,Omaha,Nebraska,,CenturyLink Center,17740.0
35,2013-11-08 20:00:00,Lynchburg,Virginia,,Vines Center,7043.0
36,2013-11-08 20:00:00,Austin,Texas,,Frank Erwin Special Events Center,8108.0
37,2013-11-08 20:00:00,Fargo,North Dakota,,Bison Sports Arena,2157.0
