matchup_id,home_team,home_team_ranking,home_team_box,away_team,away_team_ranking,away_team_box,url,neutral,winner
0,Eastern Washington,0,0,Texas Southern,0,1,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2014-2015/boxscore884203.html,False,True
1,Eastern Michigan,0,2,St. Francis (IL),0,3,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2014-2015/boxscore884102.html,False,True
2,Chattanooga,0,4,Hiwassee College,0,5,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2014-2015/boxscore884105.html,False,False
3,VMI,0,6,Citadel,0,7,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2014-2015/boxscore889591.html,True,True
4,North Texas,0,8,Arkansas-Monticello,0,9,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2014-2015/boxscore884108.html,False,True
5,VCU,16,10,Tennessee,0,11,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2014-2015/boxscore884110.html,True,True
6,Boise St.,0,12,San Diego,0,13,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2014-2015/boxscore889525.html,True,True
7,Wake Forest,0,14,N.C. Asheville,0,15,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2014-2015/boxscore884113.html,False,True
8,Mercer,0,16,Piedmont,0,17,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2014-2015/boxscore884115.html,False,True
9,Purdue,0,18,Samford,0,19,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2014-2015/boxscore884117.html,False,True
10,Dayton,0,20,Alabama A&M,0,21,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2014-2015/boxscore884095.html,False,True
11,Harvard,0,22,MIT,0,23,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2014-2015/boxscore884120.html,False,True
12,St. Joseph's,0,24,Fairleigh Dickinson,0,25,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2014-2015/boxscore884122.html,False,False
13,Ohio St.,20,26,Massachusetts Lowell,0,27,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2014-2015/boxscore884124.html,False,True
14,Penn St.,0,28,Morgan St.,0,29,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2014-2015/boxscore884126.html,False,True
15,Wright St.,0,30,Belmont,0,31,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2014-2015/boxscore884128.html,False,True
16,Rhode Island,0,32,Pace,0,33,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2014-2015/boxscore886226.html,False,True
17,Eastern Kentucky,0,34,Savannah State,0,35,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2014-2015/boxscore884998.html,False,True
18,Brigham Young,0,36,Long Beach St.,0,37,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2014-2015/boxscore884103.html,False,True
19,Robert Morris,0,38,Lafayette,0,39,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2014-2015/boxscore884132.html,False,False
20,Detroit,0,40,Rochester College,0,41,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2014-2015/boxscore884134.html,False,True
21,West Virginia,0,42,Monmouth-NJ,0,43,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2014-2015/boxscore884136.html,False,True
22,Connecticut,15,44,Bryant,0,45,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2014-2015/boxscore884138.html,False,True
23,Marshall,0,46,Jacksonville St.,0,47,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2014-2015/boxscore884140.html,False,True
24,Miami-Florida,0,48,Howard,0,49,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2014-2015/boxscore884142.html,False,True
25,Georgia Tech,0,50,Georgia,0,51,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2014-2015/boxscore884144.html,False,True
26,Indiana,0,52,Mississippi Valley State,0,53,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2014-2015/boxscore884146.html,False,False
27,South Carolina,0,54,North Florida,0,55,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2014-2015/boxscore884148.html,False,True
