matchup_id,date,city,state,country,arena,attendance
75,2014-11-14 22:00:00,Seattle,Washington,,KeyArena,3250.0
76,2014-11-14 22:00:00,San Diego,California,,Viejas Arena at Aztec Bowl,12414.0
77,2014-11-14 23:59:00,Stanford,California,,Maples Pavilion,3650.0
78,2014-11-14 23:59:00,Los Angeles,California,,Pauley Pavilion,6523.0
79,2014-11-14 13:00:00,Huntsville,Texas,,Johnson Coliseum,690.0
80,2014-11-14 15:00:00,Hamden,Connecticut,,TD Bank Sports Center,1100.0
81,2014-11-14 17:30:00,Hamden,Connecticut,,TD Bank Sports Center,3300.0
82,2014-11-14 18:00:00,Durham,North Carolina,,Cameron Indoor Stadium,9314.0
83,2014-11-14 18:00:00,Gainesville,Florida,,Stephen C. O'Connell Center,10861.0
84,2014-11-14 18:30:00,Starkville,Mississippi,,Humphrey Coliseum,6261.0
85,2014-11-14 19:00:00,Cookeville,Tennessee,,Hooper Eblen Arena,942.0
86,2014-11-14 19:00:00,Stony Brook,New York,,Island Federal Credit Union Arena,4009.0
87,2014-11-14 19:00:00,Cincinnati,Ohio,,Cintas Center,10250.0
88,2014-11-14 19:00:00,Mount Pleasant,Michigan,,McGuirk Arena,2308.0
89,2014-11-14 19:00:00,Oxford,Mississippi,,C.M. 'Tad' Smith Coliseum,5841.0
90,2014-11-14 19:00:00,Farmville,Virginia,,Willett Hall,1034.0
91,2014-11-14 19:00:00,Blacksburg,Virginia,,Cassell Coliseum,6191.0
92,2014-11-14 19:00:00,Chestnut Hill,Massachusetts,,Silvio O. Conte Forum,3174.0
93,2014-11-14 19:00:00,Syracuse,New York,,Carrier Dome,22833.0
94,2014-11-14 19:00:00,Princeton,New Jersey,,L. Stockwell Jadwin Gymnasium,1939.0
95,2014-11-14 19:00:00,Amherst,Massachusetts,,William D. Mullins Center,8187.0
96,2014-11-14 19:00:00,Washington,District of Columbia,,Charles E. Smith Center,3446.0
97,2014-11-14 19:00:00,Tampa,Florida,,USF Sun Dome,3621.0
98,2014-11-14 19:00:00,Clemson,South Carolina,,Littlejohn Coliseum,6646.0
99,2014-11-14 19:00:00,Jamaica,New York,,Carnesecca Arena,4703.0
100,2014-11-14 19:00:00,Lewisburg,Pennsylvania,,Sojka Pavilion,3102.0
101,2014-11-14 19:00:00,New Rochelle,New York,,Hynes Athletics Center,2008.0
102,2014-11-14 19:00:00,Pittsburgh,Pennsylvania,,Petersen Events Center,9749.0
103,2014-11-14 19:00:00,Fort Wayne,Indiana,,Hilliard Gates Center,1090.0
104,2014-11-14 19:00:00,Greensboro,North Carolina,,Greensboro Coliseum,1835.0
105,2014-11-14 19:00:00,Raleigh,North Carolina,,PNC Arena,11158.0
106,2014-11-14 19:00:00,Harrisonburg,Virginia,,JMU Convocation Center,6782.0
107,2014-11-14 19:30:00,Buffalo,New York,,Alumni Arena,3315.0
108,2014-11-14 19:30:00,College Park,Maryland,,Xfinity Center,10015.0
109,2014-11-14 19:30:00,Richmond,Virginia,,Robins Center,6920.0
110,2014-11-14 19:30:00,Fairfax,Virginia,,Patriot Center,6007.0
111,2014-11-14 19:30:00,Miami,Florida,,U.S. Century Bank Arena,1391.0
112,2014-11-14 20:00:00,Hattiesburg,Mississippi,,Reed Green Coliseum,3594.0
113,2014-11-14 20:00:00,Atlanta,Georgia,,GSU Sports Arena,1862.0
114,2014-11-14 20:00:00,Abilene,Texas,,Moody Coliseum,825.0
115,2014-11-14 20:00:00,Chapel Hill,North Carolina,,Dean E. Smith Center,17338.0
116,2014-11-14 20:00:00,Bronx,New York,,Rose Hill Gym,1368.0
117,2014-11-14 20:00:00,Norfolk,Virginia,,Echols Hall,2135.0
118,2014-11-14 20:00:00,Lexington,Kentucky,,Rupp Arena,22533.0
119,2014-11-14 20:00:00,De Land,Florida,,Edmunds Center,686.0
120,2014-11-14 20:00:00,Nashville,Tennessee,,Gentry Center,1238.0
121,2014-11-14 20:00:00,Edinburg,Texas,,UTPA Fieldhouse,1130.0
122,2014-11-14 20:00:00,Ames,Iowa,,James H. Hilton Coliseum,14384.0
123,2014-11-14 20:00:00,Macomb,Illinois,,Western Hall,1323.0
124,2014-11-14 20:00:00,Murray,Kentucky,,CFSB Center,5056.0
125,2014-11-14 20:00:00,Troy,Alabama,,Trojan Arena,1786.0
126,2014-11-14 20:00:00,Cincinnati,Ohio,,Fifth Third Arena,7114.0
127,2014-11-14 20:00:00,Hempstead,New York,,Mack Sports Complex,2208.0
128,2014-11-14 20:00:00,Lawrence,Kansas,,Allen Fieldhouse,16300.0
129,2014-11-14 20:00:00,Greenville,South Carolina,,Timmons Arena,1242.0
130,2014-11-14 20:00:00,Boulder,Colorado,,Coors Events Center,10058.0
131,2014-11-14 20:00:00,Tucson,Arizona,,McKale Center,14655.0
132,2014-11-14 20:05:00,Mobile,Alabama,,Mitchell Center,1520.0
133,2014-11-14 20:30:00,Chicago,Illinois,,Joseph J. Gentile Center,1570.0
134,2014-11-14 20:30:00,Valparaiso,Indiana,,Athletics-Recreation Center,2912.0
135,2014-11-14 21:00:00,Annapolis,Maryland,,Alumni Hall,5699.0
