matchup_id,home_team,home_team_ranking,home_team_box,away_team,away_team_ranking,away_team_box,url,neutral,winner
0,Eastern Michigan,0,0,Rochester College,0,1,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2012-2013/boxscore844584.html,False,True
1,Indiana - Purdue,0,2,Utah Valley,0,3,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2012-2013/boxscore844587.html,False,True
2,Baylor,18,4,Lehigh,0,5,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2012-2013/boxscore844671.html,False,True
3,Connecticut,0,6,Michigan St,14,7,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2012-2013/boxscore844590.html,True,True
4,Pittsburgh,0,8,Mount St. Mary's,0,9,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2012-2013/boxscore844592.html,False,True
5,Albany,0,10,Duquesne,0,11,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2012-2013/boxscore844594.html,False,True
6,Monmouth-NJ,0,12,Hofstra,0,13,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2012-2013/boxscore844596.html,False,True
7,N.C. State,6,14,Miami (OH),0,15,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2012-2013/boxscore844599.html,False,True
8,Florida St.,24,16,South Alabama,0,17,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2012-2013/boxscore844601.html,False,False
9,Rider,0,18,Robert Morris,0,19,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2012-2013/boxscore844603.html,False,True
10,High Point,0,20,NC-Greensboro,0,21,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2012-2013/boxscore844605.html,False,True
11,Richmond,0,22,Liberty,0,23,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2012-2013/boxscore844608.html,False,True
12,Kent St.,0,24,Drexel,0,25,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2012-2013/boxscore844610.html,False,True
13,Pennsylvania,0,26,MD Baltimore Cty,0,27,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2012-2013/boxscore844612.html,False,True
14,Harvard,0,28,MIT,0,29,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2012-2013/boxscore844614.html,False,True
15,Xavier,0,30,Fairleigh Dickinson,0,31,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2012-2013/boxscore844616.html,False,False
