matchup_id,date,city,state,country,arena,attendance
0,2012-11-09 12:00:00,Ypsilanti,Michigan,,Convocation Center,2359.0
1,2012-11-09 14:00:00,Indianapolis,Indiana,,IUPUI Gymnasium,507.0
2,2012-11-09 17:00:00,Waco,Texas,,The Ferrell Center,6568.0
3,2012-11-09 17:30:00,Ramstein,,,Ramstein Air Base,3086.0
4,2012-11-09 18:00:00,Pittsburgh,Pennsylvania,,Petersen Events Center,8928.0
5,2012-11-09 18:30:00,Guilderland,New York,,SEFCU Arena,4429.0
6,2012-11-09 19:00:00,West Long Branch,New Jersey,,Multipurpose Activity Center,2307.0
7,2012-11-09 19:00:00,Raleigh,North Carolina,,PNC Arena,19065.0
8,2012-11-09 19:00:00,Tallahassee,Florida,,Donald L. Tucker Center,9070.0
9,2012-11-09 19:00:00,Lawrenceville,New Jersey,,Alumni Gym,1650.0
10,2012-11-09 19:00:00,High Point,North Carolina,,Millis Athletic Convocation Center,1706.0
11,2012-11-09 19:00:00,Richmond,Virginia,,Robins Center,6798.0
12,2012-11-09 19:00:00,Kent,Ohio,,Memorial Athletic and Convocation Center,2650.0
13,2012-11-09 19:00:00,Philadelphia,Pennsylvania,,Palestra,3605.0
14,2012-11-09 19:00:00,Boston,Massachusetts,,Lavietes Pavilion,1755.0
15,2012-11-09 19:00:00,Cincinnati,Ohio,,Cintas Center,9711.0
16,2012-11-09 19:00:00,Albany,New York,,Times Union Center,6779.0
17,2012-11-09 19:00:00,Chapel Hill,North Carolina,,Dean E. Smith Student Activities Center,16430.0
18,2012-11-09 19:00:00,Fort Worth,Texas,,Daniel-Meyer Coliseum,4494.0
19,2012-11-09 19:00:00,Fairfax,Virginia,,Patriot Center,9840.0
20,2012-11-09 19:00:00,Detroit,Michigan,,Calihan Hall,1429.0
21,2012-11-09 19:15:00,Norfolk,Virginia,,Ted Constant Convocation Center,7283.0
22,2012-11-09 19:30:00,Williamsburg,Virginia,,Kaplan Arena,3351.0
23,2012-11-09 19:30:00,Conway,South Carolina,,HTC Center,3278.0
24,2012-11-09 19:30:00,Huntington,West Virginia,,Cam Henderson Center,5472.0
25,2012-11-09 19:30:00,Boone,North Carolina,,George M. Holmes Convocation Center,2201.0
26,2012-11-09 19:30:00,Richmond,Virginia,,Stuart C. Siegel Center,7693.0
27,2012-11-09 19:30:00,Richmond,Kentucky,,McBrayer Arena,3100.0
28,2012-11-09 19:30:00,Nashville,Tennessee,,Allen Arena,4685.0
29,2012-11-09 20:00:00,Orangeburg,South Carolina,,Edward Tullis Arena,1885.0
30,2012-11-09 20:00:00,St. Louis,Missouri,,Chaifetz Arena,6958.0
31,2012-11-09 20:00:00,San Marcos,Texas,,Strahan Coliseum,2833.0
32,2012-11-09 20:00:00,Fayetteville,Arkansas,,Bud Walton Arena,12253.0
33,2012-11-09 20:00:00,Milwaukee,Wisconsin,,Klotsche Center,2137.0
34,2012-11-09 20:00:00,Normal,Alabama,,TM Elmore Gymnasium,1267.0
35,2012-11-09 20:00:00,Greensboro,North Carolina,,Corbett Sports Center,2950.0
36,2012-11-09 20:00:00,Champaign,Illinois,,Assembly Hall,14683.0
37,2012-11-09 20:00:00,Fargo,North Dakota,,Bison Sports Arena,1782.0
38,2012-11-09 20:00:00,Auburn,Alabama,,Auburn Arena,6391.0
39,2012-11-09 20:00:00,Ralston,Nebraska,,Ralston Arena,2224.0
40,2012-11-09 20:00:00,Lake Charles,Louisiana,,Burton Coliseum,492.0
41,2012-11-09 20:05:00,Omaha,Nebraska,,CenturyLink Center,17139.0
42,2012-11-09 20:30:00,Easton,Pennsylvania,,Kirby Sports Center,1217.0
43,2012-11-09 20:30:00,Valparaiso,Indiana,,Athletics-Recreation Center,3864.0
44,2012-11-09 20:30:00,Ann Arbor,Michigan,,Crisler Arena,12693.0
45,2012-11-09 21:00:00,Provo,Utah,,Marriott Center,16283.0
