matchup_id,home_team,home_team_ranking,home_team_box,away_team,away_team_ranking,away_team_box,url,neutral,winner
0,Robert Morris,0,0,Point Park,0,1,na,False,False
1,Penn St.,0,2,Drexel,0,3,na,False,False
2,Massachusetts Lowell,0,4,Florida,0,5,na,True,False
3,Oklahoma,0,6,Texas-San Antonio,0,7,na,False,False
4,Abilene Christian,0,8,East Tennessee St.,0,9,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1026231.html,True,True
5,James Madison,0,10,Limestone,0,11,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1028981.html,False,True
6,Virginia Tech,0,12,Radford,0,13,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1026191.html,False,True
7,Xavier,0,14,Oakland,0,15,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1024919.html,False,False
8,Miami (OH),0,16,North Dakota,0,17,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1028082.html,False,True
9,Georgia Southern,0,18,Florida National,0,19,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1028512.html,False,True
10,New Hampshire,0,20,Keene State,0,21,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1028867.html,False,True
11,Chattanooga,0,22,Lander,0,23,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1029074.html,False,True
12,South Carolina Upstate,0,24,Southern Wesleyan,0,25,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1028119.html,False,False
13,South Carolina State,0,26,Appalachian St.,0,27,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1026927.html,False,False
14,Providence,0,28,Fairfield,0,29,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1023565.html,False,True
15,Illinois,10,30,North Carolina A&T,0,31,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1028116.html,False,False
16,The Citadel,0,32,Piedmont,0,33,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1028083.html,False,True
17,Bradley,0,34,Toledo,0,35,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1024917.html,True,True
18,UAB,0,36,Alcorn St.,0,37,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1021517.html,False,True
19,Western Carolina,0,38,UNC Wilmington,0,39,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1026202.html,True,True
20,Michigan,0,40,Bowling Green,0,41,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1028118.html,False,True
21,Wake Forest,0,42,Delaware State,0,43,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1027187.html,False,False
22,Furman,0,44,Tusculum,0,45,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1028731.html,False,True
23,Iowa,6,46,North Carolina Central,0,47,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1028707.html,False,True
24,Quinnipiac,0,48,Fairleigh Dickinson,0,49,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1028138.html,False,True
25,Chicago St.,0,50,Ohio,0,51,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1029028.html,True,False
