matchup_id,home_first,home_second,home_ot,home_total,away_first,away_second,away_ot,away_total
0,,,,,,,,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,34.0,36.0,0.0,70.0,34.0,36.0,0.0,47.0
5,48.0,41.0,0.0,89.0,48.0,41.0,0.0,55.0
6,37.0,40.0,0.0,77.0,37.0,40.0,0.0,62.0
7,53.0,48.0,0.0,101.0,53.0,48.0,0.0,49.0
8,34.0,47.0,0.0,81.0,34.0,47.0,0.0,67.0
9,45.0,52.0,0.0,97.0,45.0,52.0,0.0,65.0
10,42.0,51.0,0.0,93.0,42.0,51.0,0.0,54.0
11,50.0,49.0,0.0,99.0,50.0,49.0,0.0,63.0
12,30.0,42.0,0.0,72.0,30.0,42.0,0.0,82.0
13,20.0,41.0,0.0,61.0,20.0,41.0,0.0,81.0
14,41.0,56.0,0.0,97.0,41.0,56.0,0.0,56.0
15,58.0,64.0,0.0,122.0,58.0,64.0,0.0,60.0
16,39.0,50.0,0.0,89.0,39.0,50.0,0.0,64.0
17,20.0,41.0,0.0,61.0,20.0,41.0,0.0,59.0
18,50.0,49.0,0.0,99.0,50.0,49.0,0.0,50.0
19,44.0,54.0,0.0,98.0,44.0,54.0,0.0,76.0
20,43.0,53.0,0.0,96.0,43.0,53.0,0.0,82.0
21,59.0,52.0,0.0,111.0,59.0,52.0,0.0,51.0
22,50.0,45.0,0.0,95.0,50.0,45.0,0.0,62.0
23,44.0,53.0,0.0,97.0,44.0,53.0,0.0,67.0
24,42.0,42.0,0.0,84.0,42.0,42.0,0.0,66.0
25,29.0,32.0,0.0,61.0,29.0,32.0,0.0,84.0
26,39.0,38.0,0.0,77.0,39.0,38.0,0.0,64.0
27,39.0,40.0,0.0,79.0,39.0,40.0,0.0,60.0
28,45.0,36.0,0.0,81.0,45.0,36.0,0.0,45.0
29,43.0,40.0,0.0,83.0,43.0,40.0,0.0,67.0
30,49.0,39.0,0.0,88.0,49.0,39.0,0.0,49.0
31,49.0,49.0,0.0,98.0,49.0,49.0,0.0,74.0
32,31.0,51.0,0.0,82.0,31.0,51.0,0.0,73.0
33,37.0,21.0,9.0,67.0,37.0,21.0,5.0,63.0
34,44.0,32.0,0.0,76.0,44.0,32.0,0.0,75.0
35,38.0,30.0,0.0,68.0,38.0,30.0,0.0,66.0
36,32.0,33.0,0.0,65.0,32.0,33.0,0.0,56.0
37,42.0,49.0,0.0,91.0,42.0,49.0,0.0,64.0
38,57.0,44.0,0.0,101.0,57.0,44.0,0.0,58.0
39,37.0,42.0,0.0,79.0,37.0,42.0,0.0,71.0
40,53.0,46.0,0.0,99.0,53.0,46.0,0.0,57.0
41,61.0,39.0,0.0,100.0,61.0,39.0,0.0,81.0
42,41.0,47.0,0.0,88.0,41.0,47.0,0.0,94.0
43,37.0,48.0,0.0,85.0,37.0,48.0,0.0,81.0
