matchup_id,date,city,state,country,arena,attendance
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,2020-11-25 11:00:00,Estero,Florida,,Hertz Arena,50.0
5,2020-11-25 12:00:00,Harrisonburg,Virginia,,Atlantic Union Bank Center,250.0
6,2020-11-25 12:00:00,Blacksburg,Virginia,,Cassell Coliseum,250.0
7,2020-11-25 12:00:00,Cincinnati,Ohio,,Cintas Center,300.0
8,2020-11-25 13:00:00,Miami,Ohio,,Millett Hall,
9,2020-11-25 13:00:00,Statesboro,Georgia,,Hanner Fieldhouse,202.0
10,2020-11-25 13:00:00,Durham,New Hampshire,,Lundholm Gymnasium,
11,2020-11-25 14:00:00,Chattanooga,Tennessee,,McKenzie Arena,
12,2020-11-25 14:00:00,Spartanburg,South Carolina,,Hodge Center,40.0
13,2020-11-25 14:00:00,Orangeburg,South Carolina,,Smith-Hammond Middleton Memorial Center,
14,2020-11-25 14:00:00,Providence,Rhode Island,,Alumni Hall (RI),
15,2020-11-25 14:00:00,Champaign,Illinois,,State Farm Center,132.0
16,2020-11-25 15:00:00,Charleston,South Carolina,,McAlister Field House,450.0
17,2020-11-25 15:00:00,Cincinnati,Ohio,,Cintas Center,111.0
18,2020-11-25 15:30:00,Birmingham,Alabama,,Bartow Arena,906.0
19,2020-11-25 16:00:00,Asheville,North Carolina,,Kimmel Arena,
20,2020-11-25 16:00:00,Ann Arbor,Michigan,,Crisler Center,
21,2020-11-25 16:00:00,Winston-Salem,North Carolina,,Lawrence Joel Veterans Memorial Coliseum,
22,2020-11-25 16:00:00,Greenville,South Carolina,,Timmons Arena,250.0
23,2020-11-25 16:00:00,Iowa City,Iowa,,Carver-Hawkeye Arena,535.0
24,2020-11-25 16:30:00,Hamden,Connecticut,,People's United Center,
25,2020-11-25 17:00:00,Champaign,Illinois,,State Farm Center,132.0
26,2020-11-25 17:30:00,Melbourne,Florida,,Titan Field House,
27,2020-11-25 18:00:00,Chapel Hill,North Carolina,,Dean E. Smith Center,
28,2020-11-25 18:00:00,Lexington,Kentucky,,Rupp Arena at Central Bank Center,3075.0
29,2020-11-25 18:00:00,East Lansing,Michigan,,Jack Breslin Student Events Center,
30,2020-11-25 18:00:00,Spartanburg,South Carolina,,Jerry Richardson Indoor Stadium,
31,2020-11-25 18:30:00,Florence,Alabama,,Flowers Hall,187.0
32,2020-11-25 19:00:00,Davidson,North Carolina,,John M. Belk Arena,25.0
33,2020-11-25 19:00:00,Fort Wayne,Indiana,,Hilliard Gates Sports Center,
34,2020-11-25 19:00:00,Queens,New York,,Carnesecca Arena,
35,2020-11-25 19:00:00,Mobile,Alabama,,Mitchell Center,945.0
36,2020-11-25 19:00:00,Fort Myers,Florida,,Alico Arena,851.0
37,2020-11-25 19:00:00,Columbia,Missouri,,Mizzou Arena,0.0
