box_score_id,player_id,minutes_played,fg,fg_a,two_pt,two_pt_a,three_pt,three_pt_a,ft,ft_a,o_reb,d_reb,assist,pf,stl,to,blk,pts
9447,792314,6,0,1,0,1,0,0,0,0,0,1,0,3,0,2,0,0
9447,786296,18,3,6,3,4,0,2,0,1,0,2,1,1,1,0,0,6
9447,792320,8,1,3,1,3,0,0,2,2,1,0,0,2,0,0,0,4
9447,798106,11,0,3,0,1,0,2,0,0,1,2,0,1,1,2,0,0
9447,798104,24,5,12,5,9,0,3,0,0,0,1,3,0,1,1,1,10
9447,798102,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2
9447,792309,6,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
9447,792321,6,1,4,1,4,0,0,2,2,1,1,0,0,0,1,0,4
9448,797562,8,0,0,0,0,0,0,0,0,1,2,0,2,0,1,1,0
9448,791766,28,4,7,2,3,2,4,1,3,1,0,1,2,1,4,0,11
9448,786230,39,8,20,7,8,1,12,2,2,1,1,2,3,0,2,0,19
9448,780604,34,9,15,8,12,1,3,5,6,1,6,1,3,1,1,0,24
9448,780602,38,5,6,5,6,0,0,0,0,2,6,5,3,0,5,1,10
9448,791768,27,2,5,2,5,0,0,0,0,0,10,2,3,2,4,0,4
9448,786460,15,1,5,1,5,0,0,2,3,3,0,0,2,0,2,1,4
9448,791767,11,1,2,1,1,0,1,4,4,0,2,1,2,1,1,0,6
9448,780603,25,1,3,0,1,1,2,0,0,1,1,3,2,5,1,0,3
9448,780605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9449,792047,28,5,13,4,11,1,2,0,1,1,4,2,4,0,2,0,11
9449,786338,37,3,16,0,8,3,8,1,3,1,4,0,1,1,2,0,10
9449,792050,34,3,7,1,3,2,4,0,0,3,0,4,0,1,1,0,8
9449,785347,6,1,2,0,1,1,1,0,0,1,0,0,0,0,1,0,3
9449,775601,34,5,10,4,6,1,4,14,15,0,2,4,4,4,8,0,25
9449,791512,6,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0
9449,792045,4,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,2
9449,797648,15,1,2,1,2,0,0,0,0,0,2,0,0,0,0,0,2
9449,797647,36,4,8,3,3,1,5,0,0,1,6,2,4,3,3,0,9
9449,792052,17,2,2,0,0,2,2,0,0,0,1,1,2,2,0,0,6
9449,792051,8,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0
9450,775955,29,4,9,3,6,1,3,0,0,0,2,4,1,2,1,0,9
9450,775840,27,2,5,1,1,1,4,0,0,0,1,5,1,2,0,0,5
9450,775811,19,2,5,1,3,1,2,0,0,2,1,0,0,0,0,0,5
9450,775287,16,1,5,0,2,1,3,0,0,0,0,2,2,0,2,0,3
9450,786706,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9450,786704,26,8,10,8,10,0,0,6,6,3,9,0,3,2,2,2,22
9450,786551,22,7,16,3,6,4,10,0,0,0,5,2,2,0,1,0,18
9450,790921,16,1,4,1,3,0,1,2,4,1,2,2,0,4,2,0,4
9450,785395,22,1,5,1,4,0,1,0,0,4,2,4,1,0,1,1,2
9450,786703,3,0,1,0,0,0,1,2,2,0,0,0,0,0,0,0,2
9450,792327,12,0,0,0,0,0,0,0,0,2,1,0,3,0,1,0,0
9450,786702,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9450,798110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9451,776374,40,4,8,3,5,1,3,2,2,0,3,6,1,2,6,0,11
9451,791043,36,4,12,3,9,1,3,1,2,0,4,3,3,1,4,1,10
9451,775412,36,3,6,0,0,3,6,0,0,0,4,0,4,1,0,0,9
9451,791042,19,3,5,3,5,0,0,3,4,2,3,1,4,0,2,0,9
9451,774834,19,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
9451,785512,21,5,10,5,10,0,0,2,2,0,2,2,2,0,2,0,12
9451,796719,20,1,6,0,0,1,6,0,0,0,2,0,1,0,0,0,3
9451,796720,8,0,1,0,1,0,0,0,0,0,3,1,0,0,1,0,0
9451,796722,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9452,781335,35,11,21,8,15,3,6,5,5,1,6,7,1,1,1,0,30
9452,781341,41,7,12,4,4,3,8,0,0,0,4,3,1,0,2,0,17
9452,776351,39,6,10,2,4,4,6,1,2,1,5,3,5,1,0,0,17
9452,785770,42,6,10,6,10,0,0,0,1,0,3,2,1,3,3,0,12
9452,785767,26,3,7,2,2,1,5,2,3,0,1,0,3,1,1,0,9
9452,785775,22,1,3,0,2,1,1,2,4,2,5,1,0,1,1,1,5
9452,796538,8,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0
9452,791284,6,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
9452,791285,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9452,796542,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
9453,786765,43,9,14,5,8,4,6,3,4,2,7,1,3,0,1,3,25
9453,781669,45,8,17,7,12,1,5,4,4,2,5,5,3,1,4,0,21
9453,781672,22,6,9,6,9,0,0,1,2,1,2,1,1,1,1,1,13
9453,792379,42,4,8,0,1,4,7,0,0,1,11,2,2,2,1,0,12
9453,792380,45,2,13,2,7,0,6,2,2,2,2,0,1,0,2,0,6
9453,797852,26,5,7,4,5,1,2,3,4,0,2,0,2,2,1,0,14
9453,797860,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9454,786090,35,8,20,6,10,2,10,2,2,1,5,2,2,3,1,0,20
9454,791132,22,6,11,3,4,3,7,0,0,2,1,0,4,0,1,0,15
9454,791135,19,3,5,3,5,0,0,2,4,3,2,0,5,2,2,0,8
9454,786088,35,2,7,2,7,0,0,0,0,3,3,6,1,1,0,0,4
9454,796791,7,1,4,1,4,0,0,0,0,2,0,2,0,1,0,0,2
9454,796790,24,4,6,1,1,3,5,2,2,0,3,0,3,0,4,0,13
9454,774921,23,3,6,2,3,1,3,6,6,0,8,5,3,1,2,0,13
9454,791521,13,2,3,2,3,0,0,2,3,3,2,0,1,0,0,1,6
9454,791131,13,1,4,1,2,0,2,1,1,0,2,2,2,1,0,1,3
9454,791133,8,1,1,1,1,0,0,0,0,0,1,0,2,0,1,0,2
9454,786092,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
