away_team,away_team_ranking,home_team,home_team_ranking,neutral,box_score_url,date
William & Mary,0,St. John's,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2011-2012/boxscore824801.html,11/7/2011
Valparaiso,0,Arizona,16,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2011-2012/boxscore824803.html,11/7/2011
Eastern Kentucky,0,Mississippi St.,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2011-2012/boxscore824802.html,11/7/2011
Akron,0,Mississippi St.,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2011-2012/boxscore824804.html,11/9/2011
Liberty,0,Texas A&M,19,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2011-2012/boxscore824806.html,11/9/2011
Lehigh,0,St. John's,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2011-2012/boxscore824805.html,11/9/2011
Duquesne,0,Arizona,16,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2011-2012/boxscore824807.html,11/9/2011
Northwest Missouri St.,0,UMKC,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2011-2012/boxscore825762.html,11/11/2011
Montana St.,0,Arizona St.,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2011-2012/boxscore825769.html,11/11/2011
Northeastern,0,Boston U,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2011-2012/boxscore824817.html,11/11/2011
Fairfield,0,Quinnipiac,0,TRUE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2011-2012/boxscore824819.html,11/11/2011
Simpson University(CA),0,Utah Valley,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2011-2012/boxscore825829.html,11/11/2011
Suffolk,0,New Hampshire,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2011-2012/boxscore825770.html,11/11/2011
Covenant,0,Coastal Carolina,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2011-2012/boxscore825772.html,11/11/2011
