away_team,away_team_ranking,home_team,home_team_ranking,neutral,box_score_url,date
Rhode Island,0,Pittsburgh,4,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796041.html,11/8/2010
UC Irvine,0,Illinois,16,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796043.html,11/8/2010
Seattle,0,Maryland,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796042.html,11/8/2010
Navy,0,Texas,25,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796044.html,11/8/2010
Illinois-Chicago,0,Pittsburgh,4,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796045.html,11/10/2010
Toledo,0,Illinois,16,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796047.html,11/10/2010
Charleston,0,Maryland,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796046.html,11/10/2010
Louisiana Tech,0,Texas,25,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796048.html,11/10/2010
Henderson St,0,North Texas,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796470.html,11/12/2010
Wis.-Milwaukee,0,Portland,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796467.html,11/12/2010
MacMurray,0,Tenn-Martin,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796469.html,11/12/2010
Towson,0,Miami (OH),0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796471.html,11/12/2010
NC-Wilmington,0,Florida,11,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796474.html,11/12/2010
St. Francis (NY),0,Boston College,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796476.html,11/12/2010
No.Carolina A&T,0,Ohio St.,5,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796478.html,11/12/2010
Tennessee Tech,0,N.C. State,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796480.html,11/12/2010
West Virginia Tech,0,Marshall,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796482.html,11/12/2010
Georgetown,21,Old Dominion,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796484.html,11/12/2010
William & Mary,0,Virginia,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796486.html,11/12/2010
Randolph,0,VMI,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796488.html,11/12/2010
Stony Brook,0,Connecticut,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796490.html,11/12/2010
Stetson,0,Wake Forest,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796492.html,11/12/2010
Citadel,0,Richmond,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796494.html,11/12/2010
Columbia,0,La Salle,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796496.html,11/12/2010
Lipscomb,0,North Carolina,9,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796498.html,11/12/2010
VA Intermont,0,Liberty,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796597.html,11/12/2010
Johnson & Wales (NC),0,North Carolina Central,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796582.html,11/12/2010
Asbury College,0,Morehead St.,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796584.html,11/12/2010
Campbell,0,Virginia Tech,23,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796501.html,11/12/2010
NC-Greensboro,0,VCU,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796503.html,11/12/2010
Erskine,0,East Carolina,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796505.html,11/12/2010
Seton Hall,0,Temple,22,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796507.html,11/12/2010
Lehigh,0,Penn St.,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796509.html,11/12/2010
St. Francis (PA),0,American U.,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796512.html,11/12/2010
Mississippi Valley State,0,Georgia,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796514.html,11/12/2010
Charleston Southern,0,Georgia Tech,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796586.html,11/12/2010
Georgia Southwestern State,0,Kennesaw St.,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore817928.html,11/12/2010
Texas A&M Kingsville,0,Bradley,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796589.html,11/12/2010
Brewton Parker College,0,Savannah State,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796591.html,11/12/2010
