matchup_id,home_first,home_second,home_ot,home_total,away_first,away_second,away_ot,away_total
0,51.0,51.0,0.0,102.0,51.0,51.0,0.0,64.0
1,38.0,46.0,0.0,84.0,38.0,46.0,0.0,57.0
2,33.0,33.0,0.0,66.0,33.0,33.0,0.0,54.0
3,47.0,51.0,0.0,98.0,47.0,51.0,0.0,48.0
4,38.0,32.0,0.0,70.0,38.0,32.0,0.0,47.0
5,25.0,42.0,0.0,67.0,25.0,42.0,0.0,50.0
6,42.0,43.0,0.0,85.0,42.0,43.0,0.0,76.0
7,40.0,34.0,0.0,74.0,40.0,34.0,0.0,64.0
8,37.0,44.0,0.0,81.0,37.0,44.0,0.0,79.0
9,40.0,32.0,21.0,93.0,40.0,32.0,18.0,90.0
10,48.0,39.0,0.0,87.0,48.0,39.0,0.0,64.0
11,35.0,43.0,0.0,78.0,35.0,43.0,0.0,70.0
12,40.0,45.0,0.0,85.0,40.0,45.0,0.0,63.0
13,24.0,32.0,0.0,56.0,24.0,32.0,0.0,67.0
14,44.0,52.0,0.0,96.0,44.0,52.0,0.0,68.0
15,34.0,39.0,0.0,73.0,34.0,39.0,0.0,71.0
16,48.0,36.0,0.0,84.0,48.0,36.0,0.0,81.0
17,36.0,39.0,0.0,75.0,36.0,39.0,0.0,60.0
18,20.0,30.0,0.0,50.0,20.0,30.0,0.0,67.0
19,33.0,58.0,0.0,91.0,33.0,58.0,0.0,70.0
20,28.0,46.0,0.0,74.0,28.0,46.0,0.0,72.0
21,41.0,49.0,0.0,90.0,41.0,49.0,0.0,74.0
22,36.0,29.0,0.0,65.0,36.0,29.0,0.0,60.0
23,31.0,31.0,0.0,62.0,31.0,31.0,0.0,56.0
24,25.0,56.0,0.0,81.0,25.0,56.0,0.0,87.0
25,54.0,40.0,0.0,94.0,54.0,40.0,0.0,49.0
26,17.0,34.0,0.0,51.0,17.0,34.0,0.0,76.0
27,35.0,23.0,0.0,58.0,35.0,23.0,0.0,67.0
28,42.0,39.0,16.0,97.0,42.0,39.0,11.0,92.0
29,47.0,49.0,0.0,96.0,47.0,49.0,0.0,59.0
30,39.0,60.0,0.0,99.0,39.0,60.0,0.0,69.0
31,45.0,43.0,0.0,88.0,45.0,43.0,0.0,71.0
32,25.0,47.0,0.0,72.0,25.0,47.0,0.0,69.0
33,32.0,49.0,0.0,81.0,32.0,49.0,0.0,68.0
34,30.0,46.0,0.0,76.0,30.0,46.0,0.0,57.0
35,33.0,40.0,0.0,73.0,33.0,40.0,0.0,79.0
36,36.0,44.0,0.0,80.0,36.0,44.0,0.0,59.0
37,45.0,48.0,0.0,93.0,45.0,48.0,0.0,67.0
38,40.0,40.0,0.0,80.0,40.0,40.0,0.0,59.0
39,54.0,46.0,0.0,100.0,54.0,46.0,0.0,38.0
40,48.0,38.0,0.0,86.0,48.0,38.0,0.0,74.0
41,40.0,36.0,0.0,76.0,40.0,36.0,0.0,66.0
42,40.0,39.0,0.0,79.0,40.0,39.0,0.0,65.0
43,33.0,33.0,0.0,66.0,33.0,33.0,0.0,76.0
44,36.0,42.0,0.0,78.0,36.0,42.0,0.0,62.0
45,40.0,39.0,22.0,101.0,40.0,39.0,17.0,96.0
46,52.0,50.0,0.0,102.0,52.0,50.0,0.0,65.0
47,55.0,48.0,0.0,103.0,55.0,48.0,0.0,56.0
48,43.0,45.0,0.0,88.0,43.0,45.0,0.0,58.0
49,53.0,37.0,0.0,90.0,53.0,37.0,0.0,47.0
50,45.0,40.0,0.0,85.0,45.0,40.0,0.0,39.0
51,29.0,44.0,0.0,73.0,29.0,44.0,0.0,70.0
52,42.0,55.0,0.0,97.0,42.0,55.0,0.0,87.0
53,51.0,41.0,0.0,92.0,51.0,41.0,0.0,83.0
54,39.0,39.0,0.0,78.0,39.0,39.0,0.0,74.0
55,41.0,60.0,0.0,101.0,41.0,60.0,0.0,88.0
56,45.0,48.0,0.0,93.0,45.0,48.0,0.0,52.0
57,45.0,51.0,0.0,96.0,45.0,51.0,0.0,62.0
58,40.0,43.0,0.0,83.0,40.0,43.0,0.0,41.0
59,39.0,42.0,0.0,81.0,39.0,42.0,0.0,53.0
60,46.0,43.0,10.0,99.0,46.0,43.0,14.0,103.0
61,32.0,43.0,0.0,75.0,32.0,43.0,0.0,95.0
62,42.0,48.0,0.0,90.0,42.0,48.0,0.0,53.0
63,44.0,44.0,0.0,88.0,44.0,44.0,0.0,70.0
64,59.0,69.0,0.0,128.0,59.0,69.0,0.0,65.0
65,35.0,47.0,0.0,82.0,35.0,47.0,0.0,55.0
66,47.0,53.0,0.0,100.0,47.0,53.0,0.0,53.0
67,33.0,39.0,0.0,72.0,33.0,39.0,0.0,44.0
68,49.0,34.0,0.0,83.0,49.0,34.0,0.0,66.0
69,45.0,55.0,0.0,100.0,45.0,55.0,0.0,52.0
70,45.0,29.0,0.0,74.0,45.0,29.0,0.0,79.0
71,26.0,31.0,0.0,57.0,26.0,31.0,0.0,61.0
72,39.0,38.0,0.0,77.0,39.0,38.0,0.0,68.0
73,28.0,39.0,0.0,67.0,28.0,39.0,0.0,64.0
74,24.0,32.0,0.0,56.0,24.0,32.0,0.0,72.0
75,52.0,44.0,0.0,96.0,52.0,44.0,0.0,72.0
76,51.0,44.0,0.0,95.0,51.0,44.0,0.0,59.0
77,39.0,37.0,0.0,76.0,39.0,37.0,0.0,65.0
78,49.0,42.0,0.0,91.0,49.0,42.0,0.0,77.0
79,48.0,34.0,0.0,82.0,48.0,34.0,0.0,80.0
80,42.0,39.0,0.0,81.0,42.0,39.0,0.0,63.0
81,47.0,38.0,0.0,85.0,47.0,38.0,0.0,60.0
82,42.0,54.0,0.0,96.0,42.0,54.0,0.0,53.0
