matchup_id,date,city,state,country,arena,attendance
0,2016-11-11 12:00:00,Murfreesboro,Tennessee,,Murphy Athletic Center,6020.0
1,2016-11-11 13:00:00,Miami,Ohio,,John D. Millett Hall,809.0
2,2016-11-11 13:15:00,Jackson,Mississippi,,Lee E. Williams Athletics and Assembly Center,4021.0
3,2016-11-11 14:00:00,Grand Forks,North Dakota,,Betty Engelstad Sioux Center,2207.0
4,2016-11-11 15:05:00,Cheney,Washington,,Reese Court,1410.0
5,2016-11-11 17:30:00,Greensboro,North Carolina,,Corbett Sports Center,917.0
6,2016-11-11 18:30:00,Columbia,South Carolina,,Colonial Life Arena,13344.0
7,2016-11-11 19:00:00,Greenville,South Carolina,,Bon Secours Wellness Arena,9000.0
8,2016-11-11 19:00:00,Raleigh,North Carolina,,PNC Arena,16226.0
9,2016-11-11 19:00:00,Pittsburgh,Pennsylvania,,Petersen Events Center,6411.0
10,2016-11-11 19:00:00,Lexington,Kentucky,,Rupp Arena,22683.0
11,2016-11-11 19:00:00,Rochester,Michigan,,Athletics Center Orena,3250.0
12,2016-11-11 19:00:00,Bridgeport,Connecticut,,Webster Bank Arena at Harbor Yard,3043.0
13,2016-11-11 19:00:00,Hampton,Virginia,,Hampton Convocation Center,2152.0
14,2016-11-11 19:00:00,Dayton,Ohio,,University of Dayton Arena,13121.0
15,2016-11-11 19:00:00,Clinton,South Carolina,,Ross E. Templeton P.E. Center,912.0
16,2016-11-11 19:00:00,Cincinnati,Ohio,,Cintas Center,10250.0
17,2016-11-11 19:00:00,New Britain,Connecticut,,William H. Detrick Gymnasium,2317.0
18,2016-11-11 19:00:00,Moon Township,Pennsylvania,,Charles L. Sewall Center,1691.0
19,2016-11-11 19:00:00,South Orange,New Jersey,,Walsh Gymnasium,1856.0
20,2016-11-11 19:00:00,Hempstead,New York,,Mack Sports Complex,1684.0
21,2016-11-11 19:00:00,Kalamazoo,Michigan,,University Arena in Read Fieldhouse,1750.0
22,2016-11-11 19:00:00,Pittsburgh,Pennsylvania,,A.J. Palumbo Center,1319.0
