matchup_id,home_team,home_team_ranking,home_team_box,away_team,away_team_ranking,away_team_box,url,neutral,winner
0,Eastern Michigan,0,0,Vermont,0,1,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902613.html,False,True
1,Louisiana-Monroe,0,2,McMurry,0,3,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902735.html,False,True
2,North Dakota,0,4,Minnesota Morris,0,5,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902746.html,False,True
3,Iowa St.,7,6,Colorado,0,7,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902615.html,True,True
4,Mississippi,0,8,Northwestern St.,0,9,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902631.html,False,True
5,Wright St.,0,10,South Dakota,0,11,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902618.html,True,True
6,St. John's,0,12,Wagner,0,13,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902723.html,False,True
7,Abilene Christian,0,14,University of the Southwest,0,15,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902749.html,False,True
8,Florida A&M,0,16,Johnson Unversity (FL),0,17,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore913787.html,False,False
9,Miami-Florida,0,18,Texas Rio Grande Valley,0,19,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902726.html,False,True
10,Longwood,0,20,Randolph,0,21,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902728.html,False,True
11,Furman,0,22,Presbyterian,0,23,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902730.html,False,True
12,Old Dominion,0,24,Niagara,0,25,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902620.html,True,True
13,Temple,0,26,North Carolina,1,27,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902622.html,True,False
14,George Mason,0,28,Colgate,0,29,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902599.html,False,False
15,Georgia,0,30,Chattanooga,0,31,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902632.html,False,False
16,Clemson,0,32,North Carolina Central,0,33,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902634.html,False,True
17,Seton Hall,0,34,Dartmouth,0,35,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902636.html,False,True
18,Tennessee,0,36,N.C. Asheville,0,37,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902638.html,False,True
19,Hofstra,0,38,Canisius,0,39,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902605.html,False,True
20,VCU,0,40,Prairie View A&M,0,41,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902626.html,False,True
21,George Washington,0,42,Lafayette,0,43,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902628.html,False,True
22,Richmond,0,44,James Madison,0,45,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902640.html,False,False
23,Syracuse,0,46,Lehigh,0,47,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902642.html,False,True
24,Michigan St,13,48,Florida Atlantic,0,49,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902644.html,False,True
25,Villanova,9,50,Fairleigh Dickinson,0,51,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902646.html,False,True
26,Rutgers,0,52,Rutgers-Newark,0,53,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902648.html,False,True
27,Rider,0,54,Princeton,0,55,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902650.html,False,False
28,Indiana St.,0,56,Indiana - Purdue,0,57,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902652.html,False,False
29,New Hampshire,0,58,Lyndon State,0,59,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902655.html,False,True
30,Loyola-Maryland,0,60,Tennessee St.,0,61,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902657.html,False,False
31,Denver,0,62,Wis.-Milwaukee,0,63,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902659.html,True,False
32,New Mexico,0,64,Texas Southern,0,65,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902661.html,False,True
33,Connecticut,24,66,Maine,0,67,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902624.html,False,False
34,Harvard,0,68,MIT,0,69,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902662.html,False,True
35,Bradley,0,70,Ball St.,0,71,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902664.html,False,True
36,Northwestern,0,72,Massachusetts Lowell,0,73,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902666.html,False,True
37,Central Conn. St.,0,74,Hartford,0,75,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902668.html,False,False
38,Wake Forest,0,76,MD Baltimore Cty,0,77,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902670.html,False,True
39,N.C. State,0,78,William & Mary,0,79,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902672.html,False,False
40,Kansas St.,0,80,Maryland - E. Shore,0,81,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902675.html,False,True
41,East Carolina,0,82,Grambling State,0,83,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902677.html,False,True
42,Drake,0,84,Simpson College,0,85,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902679.html,False,True
43,St. Joseph's,0,86,Drexel,0,87,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902630.html,False,True
44,Louisiana-Lafayette,0,88,Louisiana College,0,89,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902608.html,False,False
45,Illinois-Chicago,0,90,San Francisco,0,91,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902603.html,False,False
46,Oklahoma St.,0,92,Tenn-Martin,0,93,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902732.html,False,True
47,Rhode Island,0,94,American U.,0,95,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902734.html,False,True
48,Murray St.,0,96,Harris-Stowe State,0,97,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902738.html,False,False
49,Bethune-Cookman,0,98,Trinity College,0,99,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore907919.html,False,False
50,Chicago St.,0,100,Illinois Tech,0,101,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore913784.html,False,False
51,Campbell,0,102,Montreat,0,103,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902736.html,False,True
52,South Florida,0,104,Troy,0,105,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902683.html,False,False
53,UC Davis,0,106,North Dakota State,0,107,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902685.html,False,False
54,Texas A&M CC,0,108,Our Lady of the Lake,0,109,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902687.html,False,True
55,St. Peter's,0,110,Brown,0,111,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902600.html,False,True
56,Missouri,0,112,Wofford,0,113,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902674.html,False,True
57,Texas Tech,0,114,High Point,0,115,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902606.html,False,True
58,Marquette,0,116,Belmont,0,117,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902690.html,False,False
59,Stanford,0,118,Green Bay,0,119,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902692.html,False,True
60,Louisiana State,19,120,McNeese St.,0,121,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902694.html,False,True
