matchup_id,date,city,state,country,arena,attendance
0,2015-11-13 11:00:00,Ypsilanti,Michigan,,Convocation Center,3219.0
1,2015-11-13 14:00:00,Monroe,Louisiana,,Fant-Ewing Coliseum,1344.0
2,2015-11-13 16:00:00,Grand Forks,North Dakota,,Betty Engelstad Sioux Center,1430.0
3,2015-11-13 17:00:00,Sioux Falls,South Dakota,,Sanford Pentagon,3200.0
4,2015-11-13 17:00:00,Oxford,Mississippi,,C.M. 'Tad' Smith Coliseum,6386.0
5,2015-11-13 17:30:00,DeKalb,Illinois,,Convocation Center,6386.0
6,2015-11-13 18:00:00,Queens,New York,,Carnesecca Arena,4677.0
7,2015-11-13 19:00:00,Abilene,Texas,,Moody Coliseum,1150.0
8,2015-11-13 19:00:00,Tallahassee,Florida,,Al Lawson Center,893.0
9,2015-11-13 19:00:00,Coral Gables,Florida,,BankUnited Center,6607.0
10,2015-11-13 19:00:00,Farmville,Virginia,,Willett Hall,1478.0
11,2015-11-13 19:00:00,Greenville,South Carolina,,Timmons Arena,1483.0
12,2015-11-13 19:00:00,Norfolk,Virginia,,Constant Convocation Center,8150.0
13,2015-11-13 19:00:00,Annapolis,Maryland,,Alumni Hall,4677.0
14,2015-11-13 19:00:00,Fairfax,Virginia,,EagleBank Arena,5124.0
15,2015-11-13 19:00:00,Athens,Georgia,,Stegeman Coliseum,5925.0
16,2015-11-13 19:00:00,Greenville,South Carolina,,Bon Secours Wellness Arena,5742.0
17,2015-11-13 19:00:00,Newark,New Jersey,,Prudential Center,6114.0
18,2015-11-13 19:00:00,Knoxville,Tennessee,,Thompson-Boling Arena,11564.0
19,2015-11-13 19:00:00,Hempstead,New York,,Mack Sports Complex,2106.0
20,2015-11-13 19:00:00,North Little Rock,Arkansas,,Verizon Arena,7637.0
21,2015-11-13 19:00:00,Washington,District of Columbia,,Charles E. Smith Center,3118.0
22,2015-11-13 19:00:00,Richmond,Virginia,,Robins Center,7201.0
23,2015-11-13 19:00:00,Syracuse,New York,,Carrier Dome,21286.0
24,2015-11-13 19:00:00,East Lansing,Michigan,,Jack Breslin Student Events Center,14797.0
25,2015-11-13 19:00:00,Villanova,Pennsylvania,,The Pavilion,6500.0
26,2015-11-13 19:00:00,Piscataway,New Jersey,,Louis Brown Athletic Center,3945.0
27,2015-11-13 19:00:00,Lawrenceville,New Jersey,,Alumni Gymnasium,1650.0
28,2015-11-13 19:00:00,Terre Haute,Indiana,,Hulman Center,4131.0
29,2015-11-13 19:30:00,Durham,New Hampshire,,Lundholm Gym,764.0
30,2015-11-13 19:30:00,Baltimore,Maryland,,Reitz Arena,2100.0
31,2015-11-13 19:30:00,Santa Clara,California,,Leavey Center,3118.0
32,2015-11-13 19:30:00,Albuquerque,New Mexico,,The Pit Arena,12269.0
33,2015-11-13 19:30:00,Storrs,Connecticut,,Harry A. Gampel Pavilion,10167.0
34,2015-11-13 19:45:00,Boston,Massachusetts,,Lavietes Pavilion,2195.0
35,2015-11-13 20:00:00,Peoria,Illinois,,Carver Arena,5089.0
