matchup_id,home_first,home_second,home_ot,home_total,away_first,away_second,away_ot,away_total
0,54.0,45.0,0.0,99.0,54.0,45.0,0.0,42.0
1,45.0,46.0,0.0,91.0,45.0,46.0,0.0,51.0
2,37.0,30.0,0.0,67.0,37.0,30.0,0.0,80.0
3,49.0,49.0,0.0,98.0,49.0,49.0,0.0,59.0
4,58.0,60.0,0.0,118.0,58.0,60.0,0.0,55.0
5,31.0,26.0,0.0,57.0,31.0,26.0,0.0,54.0
6,36.0,31.0,0.0,67.0,36.0,31.0,0.0,66.0
7,45.0,39.0,0.0,84.0,45.0,39.0,0.0,72.0
8,43.0,47.0,0.0,90.0,43.0,47.0,0.0,62.0
9,52.0,34.0,0.0,86.0,52.0,34.0,0.0,70.0
10,25.0,39.0,0.0,64.0,25.0,39.0,0.0,54.0
11,35.0,39.0,0.0,74.0,35.0,39.0,0.0,52.0
12,50.0,46.0,0.0,96.0,50.0,46.0,0.0,67.0
13,33.0,28.0,0.0,61.0,33.0,28.0,0.0,69.0
14,41.0,42.0,0.0,83.0,41.0,42.0,0.0,69.0
15,25.0,40.0,0.0,65.0,25.0,40.0,0.0,53.0
16,42.0,38.0,0.0,80.0,42.0,38.0,0.0,73.0
17,31.0,32.0,0.0,63.0,31.0,32.0,0.0,78.0
18,24.0,40.0,0.0,64.0,24.0,40.0,0.0,53.0
19,28.0,29.0,0.0,57.0,28.0,29.0,0.0,53.0
20,37.0,43.0,0.0,80.0,37.0,43.0,0.0,41.0
21,62.0,56.0,0.0,118.0,62.0,56.0,0.0,66.0
22,44.0,53.0,0.0,97.0,44.0,53.0,0.0,37.0
23,27.0,33.0,0.0,60.0,27.0,33.0,0.0,53.0
24,58.0,53.0,0.0,111.0,58.0,53.0,0.0,55.0
25,43.0,35.0,0.0,78.0,43.0,35.0,0.0,60.0
26,42.0,28.0,0.0,70.0,42.0,28.0,0.0,62.0
27,36.0,35.0,0.0,71.0,36.0,35.0,0.0,62.0
28,23.0,42.0,0.0,65.0,23.0,42.0,0.0,58.0
29,48.0,39.0,0.0,87.0,48.0,39.0,0.0,59.0
30,39.0,43.0,0.0,82.0,39.0,43.0,0.0,54.0
31,51.0,47.0,0.0,98.0,51.0,47.0,0.0,53.0
32,45.0,32.0,0.0,77.0,45.0,32.0,0.0,59.0
33,47.0,39.0,0.0,86.0,47.0,39.0,0.0,53.0
34,54.0,68.0,0.0,122.0,54.0,68.0,0.0,54.0
35,40.0,34.0,0.0,74.0,40.0,34.0,0.0,67.0
36,62.0,39.0,0.0,101.0,62.0,39.0,0.0,73.0
37,43.0,51.0,0.0,94.0,43.0,51.0,0.0,57.0
38,32.0,45.0,0.0,77.0,32.0,45.0,0.0,60.0
39,53.0,50.0,0.0,103.0,53.0,50.0,0.0,54.0
40,41.0,44.0,0.0,85.0,41.0,44.0,0.0,50.0
41,37.0,31.0,11.0,79.0,37.0,31.0,3.0,71.0
42,59.0,60.0,0.0,119.0,59.0,60.0,0.0,61.0
43,30.0,37.0,14.0,81.0,30.0,37.0,19.0,86.0
44,41.0,33.0,0.0,74.0,41.0,33.0,0.0,59.0
45,52.0,37.0,0.0,89.0,52.0,37.0,0.0,65.0
46,34.0,36.0,0.0,70.0,34.0,36.0,0.0,56.0
47,33.0,44.0,0.0,77.0,33.0,44.0,0.0,72.0
48,54.0,49.0,0.0,103.0,54.0,49.0,0.0,45.0
49,39.0,49.0,0.0,88.0,39.0,49.0,0.0,44.0
