matchup_id,home_first,home_second,home_ot,home_total,away_first,away_second,away_ot,away_total
0,59.0,51.0,0.0,110.0,59.0,51.0,0.0,54.0
1,42.0,35.0,0.0,77.0,42.0,35.0,0.0,67.0
2,53.0,51.0,0.0,104.0,53.0,51.0,0.0,55.0
3,43.0,46.0,0.0,89.0,43.0,46.0,0.0,49.0
4,43.0,41.0,0.0,84.0,43.0,41.0,0.0,70.0
5,54.0,46.0,0.0,100.0,54.0,46.0,0.0,77.0
6,50.0,42.0,0.0,92.0,50.0,42.0,0.0,87.0
7,27.0,46.0,0.0,73.0,27.0,46.0,0.0,53.0
8,30.0,35.0,0.0,65.0,30.0,35.0,0.0,52.0
9,46.0,38.0,0.0,84.0,46.0,38.0,0.0,67.0
10,48.0,38.0,0.0,86.0,48.0,38.0,0.0,58.0
11,28.0,38.0,0.0,66.0,28.0,38.0,0.0,34.0
12,31.0,39.0,0.0,70.0,31.0,39.0,0.0,50.0
13,38.0,31.0,0.0,69.0,38.0,31.0,0.0,57.0
14,36.0,34.0,11.0,81.0,36.0,34.0,8.0,78.0
15,49.0,48.0,0.0,97.0,49.0,48.0,0.0,63.0
16,37.0,34.0,0.0,71.0,37.0,34.0,0.0,72.0
17,42.0,41.0,0.0,83.0,42.0,41.0,0.0,75.0
18,37.0,37.0,0.0,74.0,37.0,37.0,0.0,66.0
19,48.0,54.0,0.0,102.0,48.0,54.0,0.0,38.0
20,32.0,42.0,0.0,74.0,32.0,42.0,0.0,68.0
21,28.0,41.0,0.0,69.0,28.0,41.0,0.0,80.0
22,50.0,40.0,0.0,90.0,50.0,40.0,0.0,65.0
23,45.0,46.0,0.0,91.0,45.0,46.0,0.0,52.0
24,41.0,57.0,0.0,98.0,41.0,57.0,0.0,67.0
25,51.0,51.0,0.0,102.0,51.0,51.0,0.0,48.0
26,48.0,36.0,0.0,84.0,48.0,36.0,0.0,56.0
27,40.0,38.0,0.0,78.0,40.0,38.0,0.0,66.0
28,45.0,61.0,0.0,106.0,45.0,61.0,0.0,58.0
29,52.0,55.0,0.0,107.0,52.0,55.0,0.0,54.0
30,42.0,58.0,0.0,100.0,42.0,58.0,0.0,68.0
31,36.0,49.0,0.0,85.0,36.0,49.0,0.0,64.0
32,52.0,39.0,0.0,91.0,52.0,39.0,0.0,47.0
33,49.0,42.0,0.0,91.0,49.0,42.0,0.0,74.0
34,39.0,48.0,0.0,87.0,39.0,48.0,0.0,37.0
35,44.0,29.0,0.0,73.0,44.0,29.0,0.0,67.0
36,46.0,30.0,0.0,76.0,46.0,30.0,0.0,61.0
37,29.0,29.0,0.0,58.0,29.0,29.0,0.0,71.0
38,49.0,36.0,0.0,85.0,49.0,36.0,0.0,63.0
39,21.0,44.0,0.0,65.0,21.0,44.0,0.0,74.0
40,38.0,33.0,0.0,71.0,38.0,33.0,0.0,59.0
41,36.0,38.0,0.0,74.0,36.0,38.0,0.0,77.0
42,36.0,39.0,0.0,75.0,36.0,39.0,0.0,86.0
43,41.0,54.0,0.0,95.0,41.0,54.0,0.0,60.0
