matchup_id,date,city,state,country,arena,attendance
0,2018-11-06 12:30:00,Green Bay,Wisconsin,,Kress Events Center,1042.0
1,2018-11-06 18:00:00,Ypsilanti,Michigan,,Convocation Center (MI),1193.0
2,2018-11-06 18:30:00,Bloomington,Indiana,,Assembly Hall,17222.0
3,2018-11-06 18:30:00,South Orange,New Jersey,,Walsh Gymnasium,1655.0
4,2018-11-06 18:30:00,Orlando,Florida,,CFE Arena,4870.0
5,2018-11-06 19:00:00,Villanova,Pennsylvania,,Finneran Pavilion,6501.0
6,2018-11-06 19:00:00,Indianapolis,Indiana,,Bankers Life Fieldhouse,18907.0
7,2018-11-06 19:00:00,Chestnut Hill,Massachusetts,,Conte Forum,3763.0
8,2018-11-06 19:00:00,Columbia,South Carolina,,Colonial Life Arena,10145.0
9,2018-11-06 19:00:00,South Bend,Indiana,,Purcell Pavilion,6462.0
10,2018-11-06 19:00:00,Harrisonburg,Virginia,,JMU Convocation Center,2623.0
11,2018-11-06 19:00:00,Syracuse,New York,,Carrier Dome,19912.0
12,2018-11-06 19:00:00,Akron,Ohio,,James A. Rhodes Arena,2261.0
13,2018-11-06 19:00:00,Richmond,Virginia,,Stuart C. Siegel Center,7637.0
14,2018-11-06 19:00:00,Newark,New Jersey,,NJIT Wellness and Events Center,1339.0
15,2018-11-06 19:00:00,Kingston,Rhode Island,,Ryan Center,5010.0
16,2018-11-06 19:00:00,Fairfax,Virginia,,EagleBank Arena,5767.0
17,2018-11-06 19:00:00,Amherst,Massachusetts,,William D. Mullins Memorial Center,2976.0
18,2018-11-06 19:00:00,Normal,Illinois,,Redbird Arena,4764.0
19,2018-11-06 19:00:00,Highland Heights,Kentucky,,BB&T Arena,2454.0
20,2018-11-06 19:00:00,Atlanta,Georgia,,GSU Sports Arena,1688.0
21,2018-11-06 19:00:00,Charlotte,North Carolina,,Halton Arena,3732.0
22,2018-11-06 19:00:00,Colorado Springs,Colorado,,Clune Arena,1083.0
23,2018-11-06 19:00:00,Bowling Green,Ohio,,Stroh Center,1374.0
24,2018-11-06 19:00:00,Mount Pleasant,Michigan,,McGuirk Arena,2137.0
25,2018-11-06 19:00:00,Greenville,South Carolina,,Timmons Arena,1054.0
26,2018-11-06 19:00:00,Farmville,Virginia,,Willett Hall,1314.0
27,2018-11-06 19:00:00,Boston,Massachusetts,,Lavietes Pavilion,1311.0
28,2018-11-06 19:00:00,Bronx,New York,,Rose Hill Gymnasium,1740.0
29,2018-11-06 19:00:00,Abilene,Texas,,Moody Coliseum,1500.0
30,2018-11-06 19:30:00,Charleston,South Carolina,,CSU Field House,788.0
31,2018-11-06 19:30:00,Huntsville,Texas,,Bernard G. Johnson Coliseum,1019.0
32,2018-11-06 19:30:00,Conway,South Carolina,,The HTC Center,1987.0
33,2018-11-06 19:30:00,Birmingham,Alabama,,Pete Hanna Center,1383.0
34,2018-11-06 19:30:00,Lubbock,Texas,,United Supermarkets Arena,10198.0
35,2018-11-06 19:30:00,College Park,Maryland,,XFINITY Center,12703.0
36,2018-11-06 20:00:00,Memphis,Tennessee,,FedExForum,15231.0
37,2018-11-06 20:00:00,Wichita,Kansas,,Charles Koch Arena,10267.0
38,2018-11-06 20:00:00,Madison,Wisconsin,,Kohl Center,17287.0
39,2018-11-06 20:00:00,Edwardsville,Illinois,,Vadalabene Center,1387.0
40,2018-11-06 20:00:00,Austin,Texas,,Frank Erwin Center,7522.0
41,2018-11-06 20:00:00,Boston,Massachusetts,,Matthews Arena,1155.0
42,2018-11-06 20:00:00,Vestal,New York,,Dr. Bai Lee Court at Events Center,2108.0
43,2018-11-06 20:00:00,Troy,Alabama,,Trojan Arena,2562.0
44,2018-11-06 20:00:00,Beaumont,Texas,,Montagne Center,1559.0
45,2018-11-06 20:00:00,Houston,Texas,,Tudor Fieldhouse,1368.0
46,2018-11-06 20:00:00,Hattiesburg,Mississippi,,Reed Green Coliseum,2149.0
47,2018-11-06 20:00:00,Valparaiso,Indiana,,Athletics-Recreation Center,2098.0
48,2018-11-06 20:00:00,Cedar Falls,Iowa,,McLeod Center,3233.0
49,2018-11-06 20:00:00,Grand Forks,North Dakota,,Betty Engelstad Sioux Center,1412.0
50,2018-11-06 20:00:00,DeKalb,Illinois,,NIU Convocation Center,843.0
51,2018-11-06 20:00:00,Edinburg,Texas,,UTRGV Fieldhouse,1032.0
52,2018-11-06 20:00:00,Clarksville,Tennessee,,Winfield Dunn Center,1373.0
53,2018-11-06 20:15:00,Nashville,Tennessee,,Allen Arena,1422.0
54,2018-11-06 20:30:00,West Long Branch,New Jersey,,OceanFirst Bank Center,2224.0
55,2018-11-06 20:30:00,Omaha,Nebraska,,CHI Health Center Omaha,16449.0
56,2018-11-06 20:30:00,Baton Rouge,Louisiana,,Maravich Assembly Center,10513.0
57,2018-11-06 20:30:00,Martin,Tennessee,,Kathleen and Tom Elam Center,1564.0
58,2018-11-06 20:45:00,New Orleans,Louisiana,,Lakefront Arena,611.0
59,2018-11-06 21:00:00,Natchitoches,Louisiana,,Prather Coliseum,1720.0
60,2018-11-06 21:00:00,Milwaukee,Wisconsin,,Fiserv Forum,14103.0
61,2018-11-06 21:00:00,Spokane,Washington,,McCarthey Athletic Center,6000.0
62,2018-11-06 21:00:00,Los Angeles,California,,Pauley Pavilion,5931.0
63,2018-11-06 21:00:00,Denver,Colorado,,Magness Arena,1822.0
64,2018-11-06 21:00:00,Corvallis,Oregon,,Gill Coliseum,3590.0
65,2018-11-06 21:30:00,Waco,Texas,,Ferrell Center,4327.0
66,2018-11-06 21:30:00,Indianapolis,Indiana,,Bankers Life Fieldhouse,18907.0
67,2018-11-06 22:00:00,Northridge,California,,Matadome,1551.0
68,2018-11-06 22:00:00,Davis,California,,The Pavilion,1891.0
69,2018-11-06 22:00:00,Irvine,California,,Bren Events Center,1058.0
70,2018-11-06 22:00:00,San Diego,California,,Viejas Arena,11077.0
71,2018-11-06 22:30:00,Seattle,Washington,,Alaska Airlines Arena,5721.0
72,2018-11-06 23:00:00,Los Angeles,California,,Galen Center,2502.0
73,2018-11-06 16:00:00,Buffalo,New York,,Alumni Arena,1852.0
74,2018-11-06 18:05:00,Morehead,Kentucky,,Ellis T. Johnson Arena,1255.0
75,2018-11-06 18:30:00,Providence,Rhode Island,,Dunkin Donuts Center,8021.0
76,2018-11-06 18:30:00,Queens,New York,,Carnesecca Arena,4863.0
77,2018-11-06 19:00:00,Tampa,Florida,,Yuengling Center,2213.0
78,2018-11-06 19:00:00,Spartanburg,South Carolina,,Richardson Indoor Stadium,3400.0
79,2018-11-06 19:00:00,West Lafayette,Indiana,,Mackey Arena,14323.0
80,2018-11-06 19:00:00,Clemson,South Carolina,,Littlejohn Coliseum,7491.0
81,2018-11-06 19:00:00,Pittsburgh,Pennsylvania,,Petersen Events Center,4729.0
82,2018-11-06 19:00:00,Charleston,South Carolina,,TD Arena,3711.0
83,2018-11-06 19:00:00,Charlottesville,Virginia,,John Paul Jones Arena,13807.0
84,2018-11-06 19:00:00,Raleigh,North Carolina,,PNC Arena,13632.0
85,2018-11-06 19:00:00,Knoxville,Tennessee,,Thompson-Boling Arena,16156.0
86,2018-11-06 19:00:00,Davidson,North Carolina,,John M. Belk Arena,2663.0
87,2018-11-06 19:00:00,West Point,New York,,Christl Arena,573.0
88,2018-11-06 19:00:00,Muncie,Indiana,,Worthen Arena,4022.0
89,2018-11-06 19:00:00,Washington,District of Columbia,,Charles E. Smith Center,3188.0
90,2018-11-06 19:00:00,Hartford,Connecticut,,Chase Arena,1269.0
91,2018-11-06 19:00:00,Jacksonville,Florida,,Swisher Gymnasium,1391.0
92,2018-11-06 19:00:00,Norfolk,Virginia,,Ted Constant Convocation Center,6289.0
93,2018-11-06 19:00:00,Orangeburg,South Carolina,,Smith-Hammond Middleton Memorial Center,432.0
94,2018-11-06 19:00:00,Kalamazoo,Michigan,,University Arena (MI),1798.0
95,2018-11-06 19:00:00,Boone,North Carolina,,Holmes Convocation Center,718.0
96,2018-11-06 19:00:00,Brooklyn,New York,,Steinberg Wellness Center,
97,2018-11-06 19:00:00,Lexington,Virginia,,Cameron Hall,762.0
98,2018-11-06 19:00:00,Hampton,Virginia,,Convocation Center (VA),3712.0
99,2018-11-06 19:00:00,Hanover,New Hampshire,,Edward Leede Arena,492.0
