away_team,away_team_ranking,home_team,home_team_ranking,neutral,box_score_url,date
Albion,0,Eastern Michigan,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868644.html,11/8/2013
Manchester,0,Central Michigan,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868647.html,11/8/2013
Citadel,0,VMI,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868650.html,11/8/2013
Alabama,0,Oklahoma,0,TRUE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868653.html,11/8/2013
Covenant,0,Chattanooga,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868655.html,11/8/2013
Northwood (TX),0,North Texas,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore880928.html,11/8/2013
Illinois St.,0,VCU,15,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868658.html,11/8/2013
Stetson,0,Clemson,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868660.html,11/8/2013
Davidson,0,Duke,4,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868662.html,11/8/2013
Missouri St.,0,Old Dominion,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868664.html,11/8/2013
Radford,0,George Washington,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868666.html,11/8/2013
Shenandoah,0,Campbell,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868668.html,11/8/2013
Washington College,0,Howard,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868670.html,11/8/2013
Gardner-Webb,0,Xavier,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868672.html,11/8/2013
South Carolina State,0,Marshall,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868674.html,11/8/2013
N.C. Asheville,0,Kentucky,1,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868676.html,11/8/2013
Delaware,0,Richmond,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868678.html,11/8/2013
American U.,0,George Mason,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868680.html,11/8/2013
Monmouth-NJ,0,Hofstra,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868682.html,11/8/2013
Chicago St.,0,Indiana,24,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868684.html,11/8/2013
Ohio Northern,0,Kent St.,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868686.html,11/8/2013
Savannah State,0,Pittsburgh,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868689.html,11/8/2013
Massachusetts Lowell,0,Michigan,9,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore873756.html,11/8/2013
East Tennessee St.,0,Charlotte,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868691.html,11/8/2013
Washington & Lee,0,Elon University,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868693.html,11/8/2013
Florida A&M,0,Rutgers,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868695.html,11/8/2013
Navy,0,Towson,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868697.html,11/8/2013
Grand Canyon,0,Loyola Marymount,0,TRUE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868699.html,11/8/2013
Maine,0,Rhode Island,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868701.html,11/8/2013
Alabama St.,0,Illinois,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868703.html,11/8/2013
Coastal Carolina,0,Akron,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868705.html,11/8/2013
Buffalo,0,Texas A&M,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868707.html,11/8/2013
Jacksonville St.,0,Bradley,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868709.html,11/8/2013
North Carolina Central,0,Cincinnati,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868711.html,11/8/2013
Alcorn St.,0,Creighton,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868713.html,11/8/2013
Randolph,0,Liberty,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868715.html,11/8/2013
Mercer,0,Texas,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868717.html,11/8/2013
Viterbo,0,North Dakota State,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868719.html,11/8/2013
Lehigh,0,Minnesota,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868721.html,11/8/2013
Nebraska Omaha,0,Northern Illinois,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868723.html,11/8/2013
MD Baltimore Cty,0,Arizona St.,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868725.html,11/8/2013
Southeastern Louisiana,0,Missouri,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868727.html,11/8/2013
NC-Wesleyan,0,East Carolina,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868729.html,11/8/2013
Houston Baptist,0,Texas Tech,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868731.html,11/8/2013
Prairie View A&M,0,Mississippi St.,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868733.html,11/8/2013
Johnson University,0,Charleston Southern,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore880930.html,11/8/2013
Oakland City,0,Austin Peay,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868646.html,11/8/2013
Tampa,0,Central Florida,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868735.html,11/8/2013
Troy,0,Mississippi,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868737.html,11/8/2013
Murray St.,0,Valparaiso,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868739.html,11/8/2013
LeTourneau,0,Northwestern St.,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore873743.html,11/8/2013
