away_team,away_team_ranking,home_team,home_team_ranking,neutral,box_score_url,date
Point Park,0,Robert Morris,0,FALSE,na,11/25/2020
Drexel,0,Penn St.,0,FALSE,na,11/25/2020
Florida,0,Massachusetts Lowell,0,TRUE,na,11/25/2020
Texas-San Antonio,0,Oklahoma,0,FALSE,na,11/25/2020
East Tennessee St.,0,Abilene Christian,0,TRUE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1026231.html,11/25/2020
Limestone,0,James Madison,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1028981.html,11/25/2020
Radford,0,Virginia Tech,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1026191.html,11/25/2020
Oakland,0,Xavier,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1024919.html,11/25/2020
North Dakota,0,Miami (OH),0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1028082.html,11/25/2020
Florida National,0,Georgia Southern,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1028512.html,11/25/2020
Keene State,0,New Hampshire,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1028867.html,11/25/2020
Lander,0,Chattanooga,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1029074.html,11/25/2020
Southern Wesleyan,0,South Carolina Upstate,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1028119.html,11/25/2020
Appalachian St.,0,South Carolina State,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1026927.html,11/25/2020
Fairfield,0,Providence,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1023565.html,11/25/2020
North Carolina A&T,0,Illinois,10,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1028116.html,11/25/2020
Piedmont,0,The Citadel,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1028083.html,11/25/2020
Toledo,0,Bradley,0,TRUE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1024917.html,11/25/2020
Alcorn St.,0,UAB,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1021517.html,11/25/2020
UNC Wilmington,0,Western Carolina,0,TRUE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1026202.html,11/25/2020
Bowling Green,0,Michigan,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1028118.html,11/25/2020
Delaware State,0,Wake Forest,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1027187.html,11/25/2020
Tusculum,0,Furman,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1028731.html,11/25/2020
North Carolina Central,0,Iowa,6,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1028707.html,11/25/2020
Fairleigh Dickinson,0,Quinnipiac,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1028138.html,11/25/2020
Ohio,0,Chicago St.,0,TRUE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1029028.html,11/25/2020
Liberty,0,Purdue,0,TRUE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1027458.html,11/25/2020
Charleston,0,North Carolina,16,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1021219.html,11/25/2020
Morehead St.,0,Kentucky,9,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1026206.html,11/25/2020
Eastern Michigan,0,Michigan St,12,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1028706.html,11/25/2020
Toccoa Falls,0,Wofford,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1029033.html,11/25/2020
Oakwood,0,North Alabama,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1028086.html,11/25/2020
High Point,0,Davidson,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1027183.html,11/25/2020
Southeastern Louisiana,0,Purdue Fort Wayne,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1027695.html,11/25/2020
Saint Peter's,0,St. John's,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1028100.html,11/25/2020
Florida Atlantic,0,South Alabama,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1027702.html,11/25/2020
Florida A&M,0,Florida Gulf Coast,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1026207.html,11/25/2020
Oral Roberts,0,Missouri,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1026199.html,11/25/2020
Northwestern St.,0,Texas Tech,13,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1026190.html,11/25/2020
South Dakota State,0,West Virginia,15,TRUE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1029024.html,11/25/2020
Coastal Georgia,0,Jacksonville,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1028843.html,11/25/2020
Texas-Permian Basin,0,Texas-El Paso,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1028384.html,11/25/2020
Arizona State,17,Rhode Island,0,TRUE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1029034.html,11/25/2020
Flagler College,0,Florida International,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1029069.html,11/25/2020
Jacksonville St.,0,Alabama,25,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1026201.html,11/25/2020
Houston Baptist,0,Texas Christian,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1021218.html,11/25/2020
Southern Utah,0,Loyola Marymount,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1027704.html,11/25/2020
Charleston Southern,0,NC State,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1028102.html,11/25/2020
Clemson,0,Mississippi State,0,TRUE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1027512.html,11/25/2020
Dallas Christian,0,Tarleton State,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1028515.html,11/25/2020
Texas A&M-International,0,Texas A&M-CC,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1028723.html,11/25/2020
Georgia St.,0,Georgia Tech,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1023548.html,11/25/2020
Adams St.,0,Weber St.,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1026235.html,11/25/2020
Montana St.,0,UNLV,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1028380.html,11/25/2020
UC Davis,0,Nicholls State,0,TRUE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1027696.html,11/25/2020
Arkansas-Pine Bluff,0,Marquette,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2020-2021/boxscore1023549.html,11/25/2020
