away_team,away_team_ranking,home_team,home_team_ranking,neutral,box_score_url,date
Milligan,0,Middle Tennessee St.,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2016-2017/boxscore946392.html,11/11/2016
Muskingum,0,Miami (OH),0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2016-2017/boxscore951369.html,11/11/2016
Xavier (LA),0,Jackson State,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2016-2017/boxscore956393.html,11/11/2016
Crown,0,North Dakota,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2016-2017/boxscore947323.html,11/11/2016
Linfield College,0,Eastern Washington,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2016-2017/boxscore946398.html,11/11/2016
Greensboro,0,No.Carolina A&T,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2016-2017/boxscore951127.html,11/11/2016
Louisiana Tech,0,South Carolina,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2016-2017/boxscore946047.html,11/11/2016
Georgia,0,Clemson,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2016-2017/boxscore946353.html,11/11/2016
Georgia Southern,0,N.C. State,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2016-2017/boxscore946356.html,11/11/2016
Eastern Michigan,0,Pittsburgh,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2016-2017/boxscore946358.html,11/11/2016
Stephen F. Austin,0,Kentucky,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2016-2017/boxscore946045.html,11/11/2016
Bowling Green,0,Oakland,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2016-2017/boxscore946370.html,11/11/2016
Sacred Heart,0,Fairfield,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2016-2017/boxscore946372.html,11/11/2016
Rider,0,Hampton,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2016-2017/boxscore946374.html,11/11/2016
Austin Peay,0,Dayton,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2016-2017/boxscore946376.html,11/11/2016
Furman,0,Presbyterian,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2016-2017/boxscore946366.html,11/11/2016
Lehigh,0,Xavier,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2016-2017/boxscore946417.html,11/11/2016
Hartford,0,Central Conn. St.,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2016-2017/boxscore946419.html,11/11/2016
Pennsylvania,0,Robert Morris,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2016-2017/boxscore946421.html,11/11/2016
