matchup_id,date,city,state,country,arena,attendance
0,2022-11-07 12:00:00,Waco,Texas,,Ferrell Center,10284.0
1,2022-11-07 12:00:00,Prairie View,Texas,,William J. Nicks Building,175.0
2,2022-11-07 16:00:00,Harrisonburg,Virginia,,Atlantic Union Bank Center,3148.0
3,2022-11-07 17:00:00,Atlanta,Georgia,,Frank L. Forbes Arena,1050.0
4,2022-11-07 18:00:00,Milwaukee,Wisconsin,,Klotsche Center,3500.0
5,2022-11-07 18:00:00,Lowell,Massachusetts,,Costello Athletic Center,511.0
6,2022-11-07 18:30:00,Indianapolis,Indiana,,Hinkle Fieldhouse,9122.0
7,2022-11-07 18:30:00,Ann Arbor,Michigan,,Crisler Center,11107.0
8,2022-11-07 18:45:00,Queens,New York,,Carnesecca Arena,4505.0
9,2022-11-07 19:00:00,Charlotte,North Carolina,,Curry Arena,1608.0
10,2022-11-07 19:00:00,Dayton,Ohio,,University of Dayton Arena,13407.0
11,2022-11-07 19:00:00,New Rochelle,New York,,Hynes Athletics Center,2654.0
12,2022-11-07 19:00:00,East Lansing,Michigan,,Jack Breslin Student Events Center,14797.0
13,2022-11-07 19:00:00,Tallahassee,Florida,,Donald L. Tucker Center,6729.0
14,2022-11-07 19:00:00,Richmond,Virginia,,Stuart C. Siegel Center,7344.0
15,2022-11-07 19:00:00,Iowa City,Iowa,,Carver-Hawkeye Arena,9545.0
16,2022-11-07 19:00:00,Piscataway,New Jersey,,Jersey Mike's Arena,8000.0
17,2022-11-07 19:00:00,Columbus,Ohio,,Value City Arena,9141.0
18,2022-11-07 19:00:00,Morgantown,West Virginia,,WVU Coliseum,9960.0
19,2022-11-07 19:00:00,Pittsburgh,Pennsylvania,,Petersen Events Center,6055.0
20,2022-11-07 19:00:00,Miami,Florida,,Ocean Bank Convocation Center (FIU),1104.0
21,2022-11-07 19:00:00,Boca Raton,Florida,,Eleanor R. Baldwin Arena,1314.0
22,2022-11-07 19:00:00,Worcester,Massachusetts,,Hart Center,3536.0
23,2022-11-07 19:00:00,Philadelphia,Pennsylvania,,The Liacouras Center,4707.0
24,2022-11-07 19:00:00,Cleveland,Ohio,,Wolstein Center,1548.0
25,2022-11-07 19:00:00,Jersey City,New Jersey,,Victor R. Yanitelli Recreation Life Center,1129.0
26,2022-11-07 19:00:00,Greensboro,North Carolina,,Corbett Sports Center,3857.0
27,2022-11-07 19:00:00,Newark,Delaware,,Bob Carpenter Center,2255.0
28,2022-11-07 19:00:00,Washington,District of Columbia,,Charles E. Smith Center,1711.0
29,2022-11-07 19:00:00,Burlington,Vermont,,Patrick Gymnasium,2296.0
30,2022-11-07 19:00:00,Lynchburg,Virginia,,Liberty Arena,3885.0
31,2022-11-07 19:00:00,Clinton,South Carolina,,Ross E. Templeton Physical Education Center,520.0
32,2022-11-07 19:00:00,Muncie,Indiana,,Worthen Arena,3445.0
33,2022-11-07 19:00:00,Akron,Ohio,,James A. Rhodes Arena,2157.0
34,2022-11-07 19:00:00,Lewisburg,Pennsylvania,,Sojka Pavilion,1412.0
35,2022-11-07 19:00:00,Brooklyn,New York,,Daniel Lynch '38 Gymnasium,114.0
36,2022-11-07 19:00:00,Kennesaw,Georgia,,KSU Convocation Center,1285.0
37,2022-11-07 19:30:00,Richmond,Kentucky,,Paul S. McBrayer Court at Baptist Health Arena,3058.0
38,2022-11-07 19:30:00,Buffalo,New York,,Koessler Athletic Center,1391.0
39,2022-11-07 19:30:00,Nashville,Tennessee,,Curb Event Center,2220.0
40,2022-11-07 19:30:00,Durham,New Hampshire,,Lundholm Gymnasium,676.0
41,2022-11-07 19:30:00,Starkville,Mississippi,,Humphrey Coliseum,6254.0
42,2022-11-07 19:30:00,Princeton,New Jersey,,Jadwin Gymnasium,1112.0
43,2022-11-07 19:30:00,Charleston,South Carolina,,TD Arena,4006.0
44,2022-11-07 19:30:00,West Point,New York,,Christl Arena,504.0
45,2022-11-07 19:30:00,Norfolk,Virginia,,Joseph G. Echols Memorial Hall,2301.0
46,2022-11-07 19:30:00,Hartford,Connecticut,,XL Center,9116.0
47,2022-11-07 19:30:00,Amherst,Massachusetts,,William D. Mullins Memorial Center,4963.0
48,2022-11-07 19:45:00,Chicago,Illinois,,Wintrust Arena,10387.0
49,2022-11-07 20:00:00,Tampa,Florida,,Yuengling Center,4046.0
50,2022-11-07 20:00:00,Wichita,Kansas,,Charles Koch Arena,6954.0
51,2022-11-07 20:00:00,Lake Charles,Louisiana,,The Legacy Center,1581.0
52,2022-11-07 20:00:00,Peoria,Illinois,,Carver Arena,3761.0
53,2022-11-07 20:00:00,Jonesboro,Arkansas,,First National Bank Arena,3092.0
54,2022-11-07 20:00:00,High Point,North Carolina,,Nido and Mariana Qubein Arena,3013.0
55,2022-11-07 20:00:00,Charleston,South Carolina,,Buccaneer Field House,855.0
56,2022-11-07 20:00:00,Chicago,Illinois,,Joseph J. Gentile Arena,3609.0
57,2022-11-07 20:00:00,Nashville,Tennessee,,Memorial Gymnasium,10380.0
58,2022-11-07 20:00:00,Syracuse,New York,,JMA Wireless Dome,17755.0
59,2022-11-07 20:00:00,Raleigh,North Carolina,,PNC Arena,11109.0
60,2022-11-07 20:00:00,Athens,Georgia,,Stegeman Coliseum,7757.0
61,2022-11-07 20:00:00,Winston-Salem,North Carolina,,Lawrence Joel Veterans Memorial Coliseum,5335.0
62,2022-11-07 20:00:00,Ames,Iowa,,James H. Hilton Coliseum,12562.0
63,2022-11-07 20:00:00,Fort Worth,Texas,,Ed and Rae Schollmaier Arena,5483.0
64,2022-11-07 20:00:00,Evanston,Illinois,,Welsh-Ryan Arena,2676.0
65,2022-11-07 20:00:00,Abilene,Texas,,Moody Coliseum,2489.0
66,2022-11-07 20:00:00,Grambling,Louisiana,,Willis Reed Court at the Fredrick C. Hobdy Center,1719.0
67,2022-11-07 20:00:00,Edwardsville,Illinois,,First Community Arena at the Vadalabene Center,720.0
68,2022-11-07 20:00:00,DeKalb,Illinois,,NIU Convocation Center,651.0
69,2022-11-07 20:00:00,Denton,Texas,,UNT Coliseum,3573.0
70,2022-11-07 20:30:00,Lafayette,Louisiana,,Cajundome,2045.0
71,2022-11-07 20:30:00,Madison,Wisconsin,,Kohl Center,14349.0
72,2022-11-07 20:30:00,Milwaukee,Wisconsin,,Fiserv Forum,12393.0
73,2022-11-07 20:30:00,Miami,Ohio,,Millett Hall,2018.0
74,2022-11-07 20:30:00,Hammond,Louisiana,,University Center,744.0
75,2022-11-07 20:30:00,New Orleans,Louisiana,,Avron B. Fogelman Arena in Devlin Fieldhouse,885.0
76,2022-11-07 21:00:00,Fort Collins,Colorado,,Moby Arena,
77,2022-11-07 21:00:00,Provo,Utah,,Marriott Center,13972.0
78,2022-11-07 21:00:00,Austin,Texas,,Moody Center,11313.0
79,2022-11-07 21:00:00,Logan,Utah,,Dee Glen Smith Spectrum,7430.0
80,2022-11-07 21:00:00,Champaign,Illinois,,State Farm Center,12938.0
81,2022-11-07 21:00:00,Lubbock,Texas,,United Supermarkets Arena,15098.0
82,2022-11-07 21:00:00,Blacksburg,Virginia,,Cassell Coliseum,8925.0
83,2022-11-07 21:00:00,Chapel Hill,North Carolina,,Dean E. Smith Center,19744.0
84,2022-11-07 21:00:00,Nashville,Tennessee,,Gentry Complex,8967.0
85,2022-11-07 21:00:00,Las Cruces,New Mexico,,Pan American Center,5178.0
86,2022-11-07 21:00:00,Jacksonville,Alabama,,Pete Mathews Coliseum,2467.0
87,2022-11-07 21:30:00,Tucson,Arizona,,McKale Center,12635.0
88,2022-11-07 22:00:00,Reno,Nevada,,Lawlor Events Center,5407.0
89,2022-11-07 22:00:00,Santa Barbara,California,,The Thunderdome,
90,2022-11-07 22:00:00,San Diego,California,,Viejas Arena,11934.0
91,2022-11-07 22:00:00,Los Angeles,California,,Gersten Pavilion,1112.0
92,2022-11-07 22:00:00,Malibu,California,,Firestone Fieldhouse,1258.0
93,2022-11-07 22:00:00,Northridge,California,,Premier America Credit Union Arena,650.0
94,2022-11-07 22:00:00,Eugene,Oregon,,Matthew Knight Arena,5897.0
95,2022-11-07 22:00:00,Fresno,California,,Save Mart Center,3675.0
96,2022-11-07 22:15:00,Las Vegas,Nevada,,Thomas & Mack Center,5039.0
97,2022-11-07 22:30:00,San Diego,California,,Jenny Craig Pavilion,919.0
98,2022-11-07 23:00:00,Salt Lake City,Utah,,Jon M. Huntsman Center,5878.0
99,2022-11-07 23:30:00,Los Angeles,California,,Pauley Pavilion presented by Wescom,6096.0
100,2022-11-07 12:00:00,Murfreesboro,Tennessee,,Murphy Athletic Center,7047.0
101,2022-11-07 14:00:00,Stanford,California,,Maples Pavilion,3380.0
102,2022-11-07 17:00:00,Greensboro,North Carolina,,Michael B. Fleming Gymnasium,1102.0
103,2022-11-07 17:30:00,Rochester,Michigan,,Athletics Center O'rena,1065.0
104,2022-11-07 18:00:00,Charlotte,North Carolina,,Dale F. Halton Arena,2638.0
105,2022-11-07 18:30:00,Boone,North Carolina,,Holmes Convocation Center,1944.0
106,2022-11-07 18:30:00,Villanova,Pennsylvania,,William B. Finneran Pavilion,6501.0
107,2022-11-07 18:30:00,Lexington,Kentucky,,Rupp Arena at Central Bank Center,18750.0
108,2022-11-07 19:00:00,St. Bonaventure,New York,,Reilly Center,3436.0
109,2022-11-07 19:00:00,Kingston,Rhode Island,,Ryan Center,5501.0
110,2022-11-07 19:00:00,Richmond,Virginia,,Robins Center,6049.0
111,2022-11-07 19:00:00,Greenville,South Carolina,,Timmons Arena,2027.0
