matchup_id,home_team,home_team_ranking,home_team_box,away_team,away_team_ranking,away_team_box,url,neutral,winner
0,Baylor,0,0,Mississippi Valley State,0,1,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2022-2023/boxscore1051966.html,False,False
1,Prairie View A&M,0,2,Kansas Christian,0,3,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2022-2023/boxscore1060894.html,False,True
2,James Madison,0,4,Valley Forge,0,5,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2022-2023/boxscore1058084.html,False,False
3,Morehouse,0,6,Harvard,0,7,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2022-2023/boxscore1057664.html,False,False
4,Milwaukee,0,8,Milwaukee School of Engineering,0,9,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2022-2023/boxscore1060679.html,False,False
5,Massachusetts Lowell,0,10,Fisher College,0,11,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2022-2023/boxscore1058060.html,False,False
6,Butler,0,12,New Orleans,0,13,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2022-2023/boxscore1057152.html,False,True
7,Michigan,0,14,Purdue Fort Wayne,0,15,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2022-2023/boxscore1051937.html,False,True
8,St. John's,0,16,Merrimack,0,17,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2022-2023/boxscore1057155.html,False,True
9,Queens University of Charlotte,0,18,Marshall,0,19,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2022-2023/boxscore1057161.html,False,True
10,Dayton,0,20,Lindenwood,0,21,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2022-2023/boxscore1057082.html,False,True
11,Iona,0,22,Pennsylvania,0,23,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2022-2023/boxscore1057095.html,False,True
12,Michigan St.,0,24,Northern Arizona,0,25,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2022-2023/boxscore1056470.html,False,True
13,Florida State,0,26,Stetson,0,27,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2022-2023/boxscore1051963.html,False,False
14,VCU,0,28,Manhattan,0,29,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2022-2023/boxscore1057069.html,False,True
15,Iowa,0,30,Bethune-Cookman,0,31,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2022-2023/boxscore1051939.html,False,True
16,Rutgers,0,32,Columbia,0,33,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2022-2023/boxscore1051931.html,False,True
17,Ohio St.,0,34,Robert Morris,0,35,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2022-2023/boxscore1051933.html,False,True
18,West Virginia,0,36,Mount St. Mary's,0,37,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2022-2023/boxscore1051942.html,False,True
19,Pittsburgh,0,38,Tenn-Martin,0,39,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2022-2023/boxscore1051959.html,False,True
20,Florida International,0,40,Houston Christian,0,41,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2022-2023/boxscore1058066.html,False,True
21,Florida Atlantic,0,42,Lynn,0,43,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2022-2023/boxscore1058087.html,False,True
22,Holy Cross,0,44,Siena,0,45,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2022-2023/boxscore1060021.html,False,False
23,Temple,0,46,Wagner,0,47,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2022-2023/boxscore1058079.html,False,False
24,Cleveland St.,0,48,Notre Dame College,0,49,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2022-2023/boxscore1058081.html,False,False
25,Saint Peter's,0,50,NJIT,0,51,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2022-2023/boxscore1060067.html,False,True
26,North Carolina A&T,0,52,Edward Waters,0,53,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2022-2023/boxscore1060410.html,False,False
