matchup_id,home_first,home_second,home_ot,home_total,away_first,away_second,away_ot,away_total
0,61.0,56.0,0.0,117.0,61.0,56.0,0.0,53.0
1,47.0,47.0,0.0,94.0,47.0,47.0,0.0,79.0
2,72.0,51.0,0.0,123.0,72.0,51.0,0.0,38.0
3,27.0,36.0,0.0,63.0,27.0,36.0,0.0,68.0
4,52.0,50.0,0.0,102.0,52.0,50.0,0.0,46.0
5,49.0,59.0,0.0,108.0,49.0,59.0,0.0,43.0
6,46.0,43.0,0.0,89.0,46.0,43.0,0.0,53.0
7,40.0,35.0,0.0,75.0,40.0,35.0,0.0,56.0
8,51.0,46.0,0.0,97.0,51.0,46.0,0.0,72.0
9,41.0,42.0,0.0,83.0,41.0,42.0,0.0,82.0
10,35.0,38.0,0.0,73.0,35.0,38.0,0.0,46.0
11,34.0,44.0,0.0,78.0,34.0,44.0,0.0,50.0
12,34.0,39.0,0.0,73.0,34.0,39.0,0.0,55.0
13,37.0,37.0,0.0,74.0,37.0,37.0,0.0,83.0
14,48.0,25.0,0.0,73.0,48.0,25.0,0.0,56.0
15,54.0,35.0,0.0,89.0,54.0,35.0,0.0,58.0
16,31.0,44.0,0.0,75.0,31.0,44.0,0.0,35.0
17,42.0,49.0,0.0,91.0,42.0,49.0,0.0,53.0
18,30.0,46.0,0.0,76.0,30.0,46.0,0.0,58.0
19,37.0,43.0,0.0,80.0,37.0,43.0,0.0,58.0
20,32.0,45.0,0.0,77.0,32.0,45.0,0.0,66.0
21,42.0,39.0,0.0,81.0,42.0,39.0,0.0,46.0
22,26.0,42.0,0.0,68.0,26.0,42.0,0.0,75.0
23,31.0,38.0,4.0,73.0,31.0,38.0,7.0,76.0
24,31.0,37.0,0.0,68.0,31.0,37.0,0.0,72.0
25,41.0,32.0,0.0,73.0,41.0,32.0,0.0,59.0
26,46.0,54.0,0.0,100.0,46.0,54.0,0.0,61.0
27,34.0,44.0,0.0,78.0,34.0,44.0,0.0,54.0
28,43.0,42.0,0.0,85.0,43.0,42.0,0.0,58.0
29,37.0,43.0,0.0,80.0,37.0,43.0,0.0,65.0
30,55.0,49.0,0.0,104.0,55.0,49.0,0.0,38.0
31,43.0,33.0,0.0,76.0,43.0,33.0,0.0,42.0
32,55.0,54.0,0.0,109.0,55.0,54.0,0.0,39.0
33,35.0,35.0,11.0,81.0,35.0,35.0,10.0,80.0
34,50.0,63.0,0.0,113.0,50.0,63.0,0.0,52.0
35,48.0,48.0,0.0,96.0,48.0,48.0,0.0,56.0
36,42.0,57.0,0.0,99.0,42.0,57.0,0.0,56.0
37,59.0,78.0,0.0,137.0,59.0,78.0,0.0,52.0
38,35.0,46.0,0.0,81.0,35.0,46.0,0.0,92.0
39,41.0,29.0,0.0,70.0,41.0,29.0,0.0,69.0
40,39.0,40.0,0.0,79.0,39.0,40.0,0.0,47.0
41,25.0,38.0,0.0,63.0,25.0,38.0,0.0,44.0
42,42.0,35.0,0.0,77.0,42.0,35.0,0.0,83.0
43,42.0,43.0,0.0,85.0,42.0,43.0,0.0,78.0
44,56.0,54.0,0.0,110.0,56.0,54.0,0.0,65.0
45,58.0,51.0,0.0,109.0,58.0,51.0,0.0,59.0
46,38.0,47.0,0.0,85.0,38.0,47.0,0.0,54.0
47,41.0,53.0,0.0,94.0,41.0,53.0,0.0,67.0
48,38.0,34.0,0.0,72.0,38.0,34.0,0.0,66.0
49,30.0,31.0,0.0,61.0,30.0,31.0,0.0,64.0
50,41.0,38.0,0.0,79.0,41.0,38.0,0.0,55.0
51,48.0,62.0,0.0,110.0,48.0,62.0,0.0,54.0
52,45.0,48.0,0.0,93.0,45.0,48.0,0.0,59.0
53,40.0,46.0,0.0,86.0,40.0,46.0,0.0,55.0
54,66.0,45.0,0.0,111.0,66.0,45.0,0.0,71.0
55,42.0,41.0,0.0,83.0,42.0,41.0,0.0,52.0
56,41.0,36.0,11.0,88.0,41.0,36.0,5.0,82.0
57,22.0,45.0,0.0,67.0,22.0,45.0,0.0,76.0
58,44.0,46.0,0.0,90.0,44.0,46.0,0.0,72.0
59,49.0,50.0,0.0,99.0,49.0,50.0,0.0,50.0
60,37.0,31.0,0.0,68.0,37.0,31.0,0.0,55.0
61,32.0,39.0,0.0,71.0,32.0,39.0,0.0,59.0
62,45.0,43.0,0.0,88.0,45.0,43.0,0.0,39.0
63,35.0,38.0,0.0,73.0,35.0,38.0,0.0,72.0
64,37.0,48.0,0.0,85.0,37.0,48.0,0.0,54.0
65,45.0,20.0,0.0,65.0,45.0,20.0,0.0,56.0
66,40.0,42.0,0.0,82.0,40.0,42.0,0.0,57.0
67,42.0,43.0,0.0,85.0,42.0,43.0,0.0,57.0
68,38.0,39.0,0.0,77.0,38.0,39.0,0.0,83.0
69,19.0,34.0,0.0,53.0,19.0,34.0,0.0,47.0
70,59.0,47.0,0.0,106.0,59.0,47.0,0.0,55.0
71,38.0,47.0,0.0,85.0,38.0,47.0,0.0,59.0
72,42.0,37.0,0.0,79.0,42.0,37.0,0.0,69.0
73,32.0,42.0,0.0,74.0,32.0,42.0,0.0,78.0
74,40.0,50.0,0.0,90.0,40.0,50.0,0.0,72.0
75,45.0,44.0,0.0,89.0,45.0,44.0,0.0,67.0
76,25.0,40.0,0.0,65.0,25.0,40.0,0.0,63.0
77,27.0,33.0,0.0,60.0,27.0,33.0,0.0,56.0
78,33.0,39.0,0.0,72.0,33.0,39.0,0.0,57.0
79,41.0,34.0,0.0,75.0,41.0,34.0,0.0,58.0
80,46.0,41.0,0.0,87.0,46.0,41.0,0.0,57.0
81,42.0,31.0,0.0,73.0,42.0,31.0,0.0,49.0
82,56.0,39.0,0.0,95.0,56.0,39.0,0.0,57.0
83,32.0,37.0,0.0,69.0,32.0,37.0,0.0,56.0
84,37.0,48.0,0.0,85.0,37.0,48.0,0.0,75.0
85,47.0,54.0,0.0,101.0,47.0,54.0,0.0,52.0
86,52.0,59.0,0.0,111.0,52.0,59.0,0.0,48.0
87,59.0,58.0,0.0,117.0,59.0,58.0,0.0,75.0
88,44.0,40.0,0.0,84.0,44.0,40.0,0.0,71.0
89,32.0,43.0,0.0,75.0,32.0,43.0,0.0,59.0
90,32.0,48.0,0.0,80.0,32.0,48.0,0.0,57.0
91,46.0,53.0,0.0,99.0,46.0,53.0,0.0,49.0
92,46.0,60.0,0.0,106.0,46.0,60.0,0.0,67.0
93,37.0,53.0,0.0,90.0,37.0,53.0,0.0,55.0
94,36.0,44.0,0.0,80.0,36.0,44.0,0.0,45.0
95,33.0,36.0,0.0,69.0,33.0,36.0,0.0,56.0
96,33.0,33.0,0.0,66.0,33.0,33.0,0.0,56.0
97,37.0,44.0,0.0,81.0,37.0,44.0,0.0,59.0
98,42.0,47.0,0.0,89.0,42.0,47.0,0.0,48.0
99,39.0,37.0,0.0,76.0,39.0,37.0,0.0,50.0
100,36.0,43.0,0.0,79.0,36.0,43.0,0.0,52.0
101,44.0,44.0,0.0,88.0,44.0,44.0,0.0,78.0
102,40.0,53.0,0.0,93.0,40.0,53.0,0.0,60.0
103,43.0,49.0,0.0,92.0,43.0,49.0,0.0,27.0
104,45.0,37.0,0.0,82.0,45.0,37.0,0.0,59.0
105,83.0,59.0,0.0,142.0,83.0,59.0,0.0,74.0
106,37.0,44.0,0.0,81.0,37.0,44.0,0.0,68.0
107,49.0,46.0,0.0,95.0,49.0,46.0,0.0,63.0
108,32.0,39.0,0.0,71.0,32.0,39.0,0.0,58.0
109,31.0,31.0,0.0,62.0,31.0,31.0,0.0,67.0
110,28.0,41.0,0.0,69.0,28.0,41.0,0.0,48.0
