matchup_id,date,city,state,country,arena,attendance
0,2011-11-07 19:00:00,Jamaica,New York,,Carnesecca Arena,4142.0
1,2011-11-07 21:00:00,Tucson,Arizona,,McKale Center,12871.0
2,2011-11-07 20:00:00,Starkville,Mississippi,,Humphrey Coliseum,5160.0
3,2011-11-09 19:00:00,Starkville,Mississippi,,Humphrey Coliseum,6897.0
4,2011-11-09 20:00:00,College Station,Texas,,Reed Arena,6118.0
5,2011-11-09 19:00:00,Jamaica,New York,,Carnesecca Arena,4409.0
6,2011-11-09 21:00:00,Tucson,Arizona,,McKale Center,13289.0
7,2011-11-11 14:00:00,Kansas City,Missouri,,Swinney Recreation Center,753.0
8,2011-11-11 16:30:00,Tempe,Arizona,,Wells Fargo Arena,5603.0
9,2011-11-11 17:00:00,Boston,Massachusetts,,Case Gymnasium,1875.0
10,2011-11-11 17:30:00,Uncasville,Connecticut,,Mohegan Sun Arena,
11,2011-11-11 18:30:00,Orem,Utah,,UCCU Events Center,1014.0
12,2011-11-11 19:00:00,Durham,New Hampshire,,Lundholm Gym,906.0
13,2011-11-11 19:00:00,Conway,South Carolina,,Kimbel Arena,1037.0
14,2011-11-11 19:00:00,Knoxville,Tennessee,,Thompson-Boling Arena,17483.0
15,2011-11-11 19:00:00,Greenville,North Carolina,,Williams Arena at Minges Coliseum,4678.0
16,2011-11-11 19:00:00,Washington,District of Columbia,,Charles E. Smith Athletic Center,3369.0
17,2011-11-11 19:00:00,Lexington,Kentucky,,Rupp Arena,22079.0
18,2011-11-11 19:00:00,Moon Township,Pennsylvania,,Charles L. Sewall Center,1822.0
19,2011-11-11 19:00:00,Bowling Green,Ohio,,Stroh Center,3476.0
20,2011-11-11 19:00:00,Villanova,Pennsylvania,,The Pavilion,6500.0
21,2011-11-11 19:00:00,Tallahassee,Florida,,Donald L. Tucker Center,7822.0
22,2011-11-11 19:00:00,Raleigh,North Carolina,,RBC Center,12441.0
23,2011-11-11 19:00:00,Philadelphia,Pennsylvania,,Tom Gola Arena,2322.0
24,2011-11-11 19:00:00,Buffalo,New York,,Alumni Arena,2623.0
25,2011-11-11 19:00:00,Winston-Salem,North Carolina,,Lawrence Joel Veterans Memorial Coliseum,6022.0
26,2011-11-11 19:00:00,St. Bonaventure,New York,,Reilly Center,4423.0
27,2011-11-11 19:00:00,Farmville,Virginia,,Willett Hall,1779.0
